date_time,open,high,low,close,volume,spread,real_volume
2024-12-16,39.32,40.62,38.81,39.97,21013,10,0
2024-12-17,39.86,41.1,39.74,40.2,28654,10,0
2024-12-18,39.99,40.19,38.62,39.1,45249,10,0
2024-12-19,39.1,39.54,36.83,37.57,59603,10,0
2024-12-20,37.87,37.88,35.43,36.8,71507,10,0
2024-12-23,36.28,36.85,35.4,35.97,45166,10,0
2024-12-24,36.47,38.01,35.72,37.62,25845,10,0
2024-12-26,37.79,38.15,36.15,36.34,31890,10,0
2024-12-27,36.39,37.11,35.72,36.0,35708,10,0
2024-12-30,35.52,36.42,35.07,35.34,34287,10,0
2024-12-31,35.59,36.81,35.22,35.76,27137,10,0
2025-01-02,36.09,36.81,35.93,36.55,30432,10,0
2025-01-03,36.41,37.45,36.2,37.2,20884,10,0
2025-01-06,37.32,38.88,36.96,38.52,29224,10,0
2025-01-07,38.67,38.98,36.3,36.45,29756,10,0
2025-01-08,36.65,36.69,34.76,35.46,38584,10,0
2025-01-09,35.78,35.86,34.1,34.45,35777,10,0
2025-01-10,34.54,35.5,34.19,35.12,41110,70,0
2025-01-13,34.88,35.62,33.3,35.3,49658,70,0
2025-01-14,35.4,36.49,35.27,35.97,32420,70,0
2025-01-15,36.03,37.31,35.88,36.9,30916,70,0
2025-01-16,36.9,37.39,35.77,36.82,34019,70,0
2025-01-17,36.71,39.11,36.68,38.66,32936,70,0
2025-01-20,38.13,40.51,36.89,38.08,102717,60,0
2025-01-21,38.23,39.05,36.86,38.84,69403,70,0
2025-01-22,38.58,38.71,37.37,37.69,36778,70,0
2025-01-23,37.64,38.84,36.78,37.38,64067,70,0
2025-01-24,37.69,38.59,37.0,37.86,36402,50,0
2025-01-27,37.57,37.6,35.45,36.92,69105,50,0
2025-01-28,37.02,37.69,36.23,36.25,35566,50,0
2025-01-29,36.58,37.97,36.41,37.52,38545,40,0
2025-01-30,37.44,38.22,37.35,37.52,30704,50,0
2025-01-31,37.54,37.7,36.2,36.44,31227,50,0
2025-02-02,36.09,36.21,34.44,34.61,31694,70,0
2025-02-03,34.96,36.18,32.78,36.1,88545,50,0
2025-02-04,36.1,36.35,33.87,33.91,54207,50,0
2025-02-05,33.9,34.72,33.63,33.75,41343,50,0
2025-02-06,33.75,34.61,33.47,33.84,37253,50,0
2025-02-07,33.84,34.82,33.38,33.51,38940,50,0
2025-02-08,33.5,33.82,33.37,33.69,11680,60,0
2025-02-09,33.7,33.98,33.05,33.21,12610,50,0
2025-02-10,33.21,33.89,33.07,33.43,29529,30,0
2025-02-11,33.43,33.89,32.63,33.21,27244,40,0
2025-02-12,33.21,33.68,32.59,33.57,30346,50,0
