date_time,open,high,low,close,volume,spread,real_volume
1993-05-19,1.1658,1.1658,1.1658,1.1658,1,160,0
1993-05-20,1.1579,1.1579,1.1579,1.1579,1,160,0
1993-05-21,1.1609,1.1609,1.1609,1.1609,1,160,0
1993-05-24,1.1658,1.1658,1.1658,1.1658,1,160,0
1993-05-25,1.1566,1.1566,1.1566,1.1566,1,160,0
1993-05-26,1.1512,1.1512,1.1512,1.1512,1,160,0
1993-05-27,1.13,1.13,1.13,1.13,1,160,0
1993-05-28,1.1135,1.1135,1.1135,1.1135,1,160,0
1993-05-31,1.1174,1.1174,1.1174,1.1174,1,160,0
1993-06-01,1.1134,1.1134,1.1134,1.1134,1,160,0
1993-06-02,1.12,1.12,1.12,1.12,1,160,0
1993-06-03,1.1172,1.1172,1.1172,1.1172,1,160,0
1993-06-04,1.1436,1.1436,1.1436,1.1436,1,160,0
1993-06-07,1.1336,1.1336,1.1336,1.1336,1,160,0
1993-06-08,1.1399,1.1399,1.1399,1.1399,1,160,0
1993-06-09,1.1509,1.1509,1.1509,1.1509,1,160,0
1993-06-10,1.1408,1.1408,1.1408,1.1408,1,160,0
1993-06-11,1.1359,1.1359,1.1359,1.1359,1,160,0
1993-06-14,1.1353,1.1353,1.1353,1.1353,1,160,0
1993-06-15,1.15,1.15,1.15,1.15,1,160,0
1993-06-16,1.1609,1.1609,1.1609,1.1609,1,160,0
1993-06-17,1.1611,1.1611,1.1611,1.1611,1,160,0
1993-06-18,1.1783,1.1783,1.1783,1.1783,1,160,0
1993-06-21,1.179,1.179,1.179,1.179,1,160,0
1993-06-22,1.1824,1.1824,1.1824,1.1824,1,160,0
1993-06-23,1.1756,1.1756,1.1756,1.1756,1,160,0
1993-06-24,1.1818,1.1818,1.1818,1.1818,1,160,0
1993-06-25,1.1816,1.1816,1.1816,1.1816,1,160,0
1993-06-28,1.1735,1.1735,1.1735,1.1735,1,160,0
1993-06-29,1.1683,1.1683,1.1683,1.1683,1,160,0
1993-06-30,1.1808,1.1808,1.1808,1.1808,1,160,0
1993-07-01,1.1718,1.1718,1.1718,1.1718,1,160,0
1993-07-02,1.1744,1.1744,1.1744,1.1744,1,160,0
1993-07-05,1.178,1.178,1.178,1.178,1,160,0
1993-07-06,1.1774,1.1774,1.1774,1.1774,1,160,0
1993-07-07,1.177,1.177,1.177,1.177,1,160,0
1993-07-08,1.1808,1.1808,1.1808,1.1808,1,160,0
1993-07-09,1.1983,1.1983,1.1983,1.1983,1,160,0
1993-07-12,1.1964,1.1964,1.1964,1.1964,1,160,0
1993-07-13,1.1853,1.1853,1.1853,1.1853,1,160,0
1993-07-14,1.1772,1.1772,1.1772,1.1772,1,160,0
1993-07-15,1.1841,1.1841,1.1841,1.1841,1,160,0
1993-07-16,1.1756,1.1756,1.1756,1.1756,1,160,0
1993-07-19,1.174,1.174,1.174,1.174,1,160,0
1993-07-20,1.1714,1.1714,1.1714,1.1714,1,160,0
1993-07-21,1.1755,1.1755,1.1755,1.1755,1,160,0
1993-07-22,1.1747,1.1747,1.1747,1.1747,1,160,0
1993-07-23,1.1872,1.1872,1.1872,1.1872,1,160,0
1993-07-26,1.1864,1.1864,1.1864,1.1864,1,160,0
1993-07-27,1.185,1.185,1.185,1.185,1,160,0
1993-07-28,1.1771,1.1771,1.1771,1.1771,1,160,0
1993-07-29,1.1882,1.1882,1.1882,1.1882,1,160,0
1993-07-30,1.185,1.185,1.185,1.185,1,160,0
1993-08-02,1.1593,1.1593,1.1593,1.1593,1,160,0
1993-08-03,1.1632,1.1632,1.1632,1.1632,1,160,0
1993-08-04,1.1672,1.1672,1.1672,1.1672,1,160,0
1993-08-05,1.1671,1.1671,1.1671,1.1671,1,160,0
1993-08-06,1.162,1.162,1.162,1.162,1,160,0
1993-08-09,1.1634,1.1634,1.1634,1.1634,1,160,0
1993-08-10,1.1806,1.1806,1.1806,1.1806,1,160,0
1993-08-11,1.1733,1.1733,1.1733,1.1733,1,160,0
1993-08-12,1.1605,1.1605,1.1605,1.1605,1,160,0
1993-08-13,1.1597,1.1597,1.1597,1.1597,1,160,0
1993-08-16,1.1389,1.1389,1.1389,1.1389,1,160,0
1993-08-17,1.1427,1.1427,1.1427,1.1427,1,160,0
1993-08-18,1.1236,1.1236,1.1236,1.1236,1,160,0
1993-08-19,1.131,1.131,1.131,1.131,1,160,0
1993-08-20,1.1142,1.1142,1.1142,1.1142,1,160,0
1993-08-23,1.1219,1.1219,1.1219,1.1219,1,160,0
1993-08-24,1.1185,1.1185,1.1185,1.1185,1,160,0
1993-08-25,1.13,1.13,1.13,1.13,1,160,0
1993-08-26,1.1188,1.1188,1.1188,1.1188,1,160,0
1993-08-27,1.1121,1.1121,1.1121,1.1121,1,160,0
1993-08-30,1.1138,1.1138,1.1138,1.1138,1,160,0
1993-08-31,1.1205,1.1205,1.1205,1.1205,1,160,0
1993-09-01,1.0981,1.0981,1.0981,1.0981,1,160,0
1993-09-02,1.0907,1.0907,1.0907,1.0907,1,160,0
1993-09-03,1.0708,1.0708,1.0708,1.0708,1,160,0
1993-09-06,1.0704,1.0704,1.0704,1.0704,1,160,0
1993-09-07,1.075,1.075,1.075,1.075,1,160,0
1993-09-08,1.0756,1.0756,1.0756,1.0756,1,160,0
1993-09-09,1.0648,1.0648,1.0648,1.0648,1,160,0
1993-09-10,1.0604,1.0604,1.0604,1.0604,1,160,0
1993-09-13,1.0672,1.0672,1.0672,1.0672,1,160,0
1993-09-14,1.0605,1.0605,1.0605,1.0605,1,160,0
1993-09-15,1.0613,1.0613,1.0613,1.0613,1,160,0
1993-09-16,1.066,1.066,1.066,1.066,1,160,0
1993-09-17,1.0605,1.0605,1.0605,1.0605,1,160,0
