date_time,open,high,low,close,volume,spread,real_volume
2017-03-21,3385.0,3395.0,3335.0,3340.0,400,0,0
2017-03-22,3331.0,3353.0,3322.0,3346.0,512,0,0
2017-03-23,3352.0,3376.0,3337.0,3366.0,500,0,0
2017-03-24,3374.0,3374.0,3356.95,3367.95,457,0,0
2017-03-27,3344.95,3369.95,3332.95,3367.95,662,0,0
2017-03-28,3373.95,3399.95,3361.95,3397.95,519,0,0
2017-03-29,3398.95,3408.95,3388.95,3400.95,466,0,0
2017-03-30,3399.95,3410.95,3390.95,3408.95,286,0,0
2017-03-31,3399.95,3433.95,3393.95,3429.95,388,0,0
2017-04-03,3430.95,3438.95,3386.95,3410.0,1439,0,0
2017-04-04,3402.5,3416.0,3392.0,3416.0,447,0,0
2017-04-05,3417.0,3423.0,3387.0,3387.0,528,0,0
2017-04-06,3381.0,3422.0,3374.0,3414.0,609,0,0
2017-04-07,3408.0,3434.0,3400.0,3427.0,649,0,0
2017-04-10,3428.0,3431.0,3402.0,3404.0,386,0,0
2017-04-11,3401.0,3415.0,3375.0,3410.0,621,0,0
2017-04-12,3411.0,3427.0,3390.0,3392.0,738,0,0
2017-04-13,3395.0,3396.0,3364.0,3375.0,542,0,0
2017-04-18,3392.0,3393.0,3325.0,3337.0,675,0,0
2017-04-19,3341.0,3358.0,3335.0,3337.0,470,0,0
2017-04-20,3343.0,3381.0,3338.0,3372.0,574,0,0
2017-04-21,3374.0,3388.0,3351.0,3381.0,662,0,0
2017-04-24,3454.5,3519.0,3454.5,3516.0,899,0,0
2017-04-25,3523.0,3529.0,3509.0,3521.0,393,0,0
2017-04-26,3524.0,3524.0,3497.0,3497.5,453,0,0
2017-04-27,3501.0,3511.0,3493.0,3501.5,414,0,0
2017-04-28,3500.0,3511.0,3494.0,3496.0,473,0,0
2017-05-02,3500.0,3531.0,3500.0,3531.0,248,0,0
2017-05-03,3523.0,3537.0,3517.0,3536.5,326,0,0
2017-05-04,3539.0,3581.0,3539.0,3580.0,323,0,0
2017-05-05,3568.0,3638.5,3566.0,3636.0,415,0,0
2017-05-08,3641.0,3641.0,3593.0,3604.0,514,0,0
2017-05-09,3606.0,3621.0,3597.0,3605.0,280,0,0
2017-05-10,3599.0,3610.0,3594.0,3610.0,309,0,0
2017-05-11,3611.0,3614.0,3570.0,3596.0,474,0,0
2017-05-12,3590.0,3608.0,3584.0,3608.0,314,0,0
2017-05-15,3614.0,3620.0,3591.0,3617.0,310,0,0
2017-05-16,3613.0,3627.0,3609.0,3620.5,315,0,0
2017-05-17,3608.0,3613.0,3534.0,3536.0,710,0,0
2017-05-18,3543.0,3563.0,3506.0,3550.0,1018,0,0
2017-05-19,3546.0,3569.0,3544.0,3566.0,439,0,0
2017-05-22,3573.0,3577.0,3553.0,3561.0,417,0,0
2017-05-23,3554.0,3588.0,3549.0,3580.0,545,0,0
2017-05-24,3578.0,3582.0,3562.0,3573.0,392,0,0
2017-05-25,3584.0,3590.0,3554.5,3566.0,546,0,0
2017-05-26,3561.0,3563.0,3529.0,3563.0,455,0,0
2017-05-29,3568.0,3568.0,3551.0,3559.0,156,0,0
2017-05-30,3554.0,3556.0,3533.0,3544.5,493,0,0
2017-05-31,3545.0,3577.0,3541.0,3549.0,663,0,0
2017-06-01,3556.0,3573.0,3547.0,3572.0,566,0,0
2017-06-02,3588.0,3608.0,3576.0,3590.0,695,0,0
2017-06-05,3586.0,3587.0,3563.0,3572.0,116,0,0
2017-06-06,3561.0,3567.0,3537.0,3543.0,651,0,0
2017-06-07,3544.0,3572.0,3532.0,3548.5,723,0,0
2017-06-08,3549.0,3569.0,3542.0,3565.0,813,0,0
2017-06-09,3564.0,3593.0,3554.0,3568.0,975,0,0
2017-06-12,3567.0,3571.0,3530.0,3539.0,995,0,0
2017-06-13,3543.0,3565.0,3543.0,3563.0,558,0,0
2017-06-14,3560.0,3588.0,3540.0,3554.0,804,0,0
2017-06-15,3547.0,3547.0,3498.0,3528.0,1223,0,0
2017-06-16,3532.0,3551.0,3518.0,3539.0,546,0,0
2017-06-19,3548.0,3583.0,3548.0,3579.0,285,0,0
2017-06-20,3587.0,3590.0,3542.0,3549.0,361,0,0
2017-06-21,3542.0,3552.0,3511.0,3538.0,498,0,0
2017-06-22,3542.0,3548.0,3517.0,3537.0,402,0,0
2017-06-23,3540.0,3544.0,3517.0,3534.0,445,0,0
2017-06-26,3539.0,3572.0,3539.0,3553.0,348,0,0
2017-06-27,3551.0,3551.0,3508.0,3508.0,604,0,0
2017-06-28,3508.0,3535.0,3488.0,3532.0,584,0,0
2017-06-29,3542.0,3545.0,3438.0,3455.95,906,0,0
2017-06-30,3459.0,3479.0,3425.0,3448.0,578,0,0
2017-07-03,3454.0,3484.0,3447.0,3469.0,332,0,0
2017-07-04,3465.0,3484.0,3461.0,3469.5,261,0,0
2017-07-05,3468.0,3480.0,3459.0,3480.0,456,0,0
2017-07-06,3474.0,3475.0,3426.0,3443.0,501,0,0
2017-07-07,3445.0,3467.0,3443.0,3463.0,407,0,0
2017-07-10,3472.0,3478.0,3459.0,3474.0,313,0,0
2017-07-11,3477.0,3486.0,3452.0,3471.0,351,0,0
2017-07-12,3466.0,3517.0,3463.0,3511.0,342,0,0
2017-07-13,3511.0,3532.0,3507.0,3524.0,313,0,0
2017-07-14,3525.0,3527.0,3505.0,3523.0,285,0,0
2017-07-17,3525.0,3529.0,3498.0,3506.0,319,0,0
2017-07-18,3500.0,3510.0,3461.0,3478.0,382,0,0
2017-07-19,3483.0,3501.0,3470.0,3500.0,304,0,0
2017-07-20,3505.0,3522.0,3478.0,3491.0,485,0,0
2017-07-21,3488.0,3500.0,3429.0,3453.0,481,0,0
2017-07-24,3448.0,3457.0,3425.0,3455.0,450,0,0
2017-07-25,3454.0,3487.0,3446.0,3469.0,348,0,0
2017-07-26,3464.0,3492.0,3464.0,3471.0,358,0,0
2017-07-27,3482.0,3499.0,3462.0,3476.0,602,0,0
2017-07-28,3464.0,3469.0,3442.0,3461.0,478,0,0
2017-07-31,3456.0,3472.0,3433.0,3438.0,409,0,0
2017-08-01,3450.0,3483.0,3439.0,3471.0,318,0,0
2017-08-02,3475.0,3477.0,3445.0,3458.0,396,0,0
2017-08-03,3456.0,3466.0,3432.0,3456.0,407,0,0
2017-08-04,3459.0,3513.0,3452.0,3504.0,364,0,0
2017-08-07,3508.0,3513.0,3493.0,3501.0,297,0,0
2017-08-08,3494.0,3522.0,3489.0,3494.0,342,0,0
2017-08-09,3485.0,3492.0,3448.0,3471.5,560,0,0
2017-08-10,3462.0,3463.0,3408.0,3412.0,736,0,0
2017-08-11,3408.0,3418.0,3389.0,3400.0,653,0,0
2017-08-14,3420.0,3457.0,3418.0,3447.0,449,0,0
2017-08-15,3457.0,3472.0,3451.0,3463.0,387,0,0
2017-08-16,3461.0,3494.0,3461.0,3472.0,376,0,0
2017-08-17,3473.0,3482.0,3433.0,3435.0,691,0,0
2017-08-18,3440.0,3451.0,3417.0,3438.0,610,0,0
2017-08-21,3437.0,3439.0,3407.0,3417.0,502,0,0
2017-08-22,3431.0,3459.0,3430.0,3459.0,398,0,0
2017-08-23,3456.0,3464.0,3428.0,3441.0,463,0,0
2017-08-24,3438.0,3458.0,3437.0,3441.0,412,0,0
2017-08-25,3447.0,3458.0,3430.0,3434.0,492,0,0
2017-08-28,3424.0,3436.0,3410.0,3415.0,345,0,0
2017-08-29,3399.0,3403.0,3361.0,3402.5,656,0,0
2017-08-30,3407.0,3415.0,3395.0,3409.0,345,0,0
2017-08-31,3415.0,3435.0,3412.0,3423.0,400,0,0
2017-09-01,3426.0,3453.0,3426.0,3446.0,358,0,0
2017-09-04,3426.0,3436.0,3415.0,3433.0,263,0,0
2017-09-05,3428.0,3447.0,3392.0,3404.0,556,0,0
2017-09-06,3403.0,3453.0,3395.0,3446.0,522,0,0
2017-09-07,3443.0,3467.0,3438.0,3452.0,584,0,0
2017-09-08,3438.0,3450.0,3432.0,3443.0,450,0,0
2017-09-11,3467.0,3505.0,3466.0,3501.0,259,0,0
2017-09-12,3503.0,3519.0,3502.0,3511.0,259,0,0
2017-09-13,3507.0,3527.0,3503.0,3520.0,246,0,0
2017-09-14,3517.0,3530.0,3511.0,3529.0,362,0,0
2017-09-15,3524.0,3533.0,3520.0,3523.0,159,0,0
2017-09-18,3513.0,3522.0,3508.0,3512.0,209,0,0
2017-09-19,3511.0,3516.0,3506.0,3512.0,199,0,0
2017-09-20,3513.0,3533.0,3506.0,3531.0,268,0,0
2017-09-21,3524.0,3532.0,3521.0,3526.0,230,0,0
2017-09-22,3521.0,3537.0,3516.0,3528.0,222,0,0
2017-09-25,3520.0,3533.0,3515.0,3522.0,329,0,0
2017-09-26,3520.0,3530.0,3517.0,3523.0,261,0,0
2017-09-27,3528.0,3556.0,3527.0,3548.5,272,0,0
2017-09-28,3551.0,3554.0,3544.0,3553.0,222,0,0
2017-09-29,3554.0,3583.0,3549.0,3582.0,186,0,0
2017-10-02,3585.0,3594.0,3577.0,3593.0,213,0,0
2017-10-03,3599.0,3600.0,3587.0,3600.0,58,0,0
2017-10-04,3597.0,3598.0,3572.0,3581.0,166,0,0
2017-10-05,3582.0,3606.0,3576.0,3604.0,180,0,0
2017-10-06,3603.0,3604.0,3585.0,3599.0,168,0,0
2017-10-09,3600.0,3607.0,3587.0,3588.0,163,0,0
2017-10-10,3594.0,3604.0,3580.0,3600.0,240,0,0
2017-10-11,3601.0,3602.0,3580.0,3598.0,195,0,0
2017-10-12,3600.0,3602.0,3586.0,3596.0,104,0,0
2017-10-13,3602.0,3608.0,3590.0,3597.0,149,0,0
2017-10-16,3602.0,3603.0,3590.0,3600.0,145,0,0
2017-10-17,3601.0,3610.0,3588.0,3601.0,128,0,0
2017-10-18,3602.0,3617.0,3598.0,3614.0,123,0,0
2017-10-19,3612.0,3612.0,3577.0,3594.0,313,0,0
2017-10-20,3601.0,3608.0,3591.0,3598.0,187,0,0
2017-10-23,3600.0,3617.0,3589.0,3592.0,174,0,0
2017-10-24,3595.0,3616.0,3594.0,3603.0,219,0,0
2017-10-25,3599.0,3614.0,3568.0,3584.0,333,0,0
2017-10-26,3586.0,3642.0,3573.0,3639.0,366,0,0
2017-10-27,3642.0,3663.0,3637.0,3645.0,328,0,0
2017-10-30,3643.0,3661.0,3642.0,3650.0,374,0,0
2017-10-31,3654.0,3680.0,3654.0,3676.0,162,0,0
2017-11-01,3688.0,3700.0,3684.0,3688.0,593,0,0
2017-11-02,3684.0,3692.0,3666.0,3688.0,538,0,0
2017-11-03,3691.0,3692.0,3670.0,3679.0,443,0,0
2017-11-06,3680.0,3682.0,3664.0,3682.0,292,0,0
2017-11-07,3689.0,3691.0,3643.0,3649.0,444,0,0
2017-11-08,3651.0,3661.0,3634.0,3649.5,379,0,0
2017-11-09,3649.0,3653.0,3581.0,3605.0,1021,0,0
2017-11-10,3604.0,3613.0,3582.0,3588.0,531,0,0
2017-11-13,3591.0,3596.0,3540.0,3575.0,493,0,0
2017-11-14,3570.0,3584.0,3540.0,3552.0,658,0,0
2017-11-15,3538.0,3547.0,3514.0,3540.0,752,0,0
2017-11-16,3553.0,3572.0,3548.0,3568.0,504,0,0
2017-11-17,3563.0,3567.0,3536.0,3540.0,535,0,0
2017-11-20,3524.0,3562.0,3524.0,3554.0,760,0,0
2017-11-21,3553.95,3587.0,3546.0,3578.0,743,0,0
2017-11-22,3579.95,3591.5,3551.95,3557.0,766,0,0
2017-11-23,3554.95,3577.0,3541.0,3563.95,849,0,0
2017-11-24,3564.95,3596.0,3563.0,3575.0,900,0,0
2017-11-27,3568.0,3592.0,3558.0,3563.0,984,0,0
2017-11-28,3561.95,3600.0,3554.0,3598.0,1087,0,0
2017-11-29,3599.95,3615.0,3578.0,3588.0,1161,0,0
2017-11-30,3586.95,3610.0,3565.95,3570.0,1227,0,0
2017-12-01,3571.95,3572.0,3510.0,3543.0,2074,0,0
2017-12-04,3562.0,3583.0,3549.0,3564.0,1459,0,0
2017-12-05,3573.95,3580.0,3549.0,3554.5,1613,0,0
2017-12-06,3542.45,3567.0,3528.0,3557.0,1419,0,0
2017-12-07,3563.95,3578.0,3555.0,3578.0,1237,0,0
2017-12-08,3590.95,3610.0,3586.0,3595.0,1035,0,0
2017-12-11,3600.0,3601.0,3576.0,3590.0,843,0,0
2017-12-12,3588.95,3598.0,3567.0,3594.0,832,0,0
2017-12-13,3593.95,3601.0,3566.0,3567.0,738,0,0
2017-12-14,3569.95,3581.0,3541.0,3546.0,1085,0,0
2017-12-15,3549.95,3559.0,3529.0,3556.0,1131,0,0
2017-12-18,3572.95,3601.0,3567.0,3594.0,893,0,0
2017-12-19,3594.95,3602.0,3566.0,3571.5,685,0,0
2017-12-20,3575.95,3577.0,3532.0,3538.5,1069,0,0
2017-12-21,3536.0,3562.0,3521.0,3546.0,719,0,0
2017-12-22,3544.95,3553.0,3534.0,3548.0,741,0,0
2017-12-27,3540.95,3556.0,3528.0,3534.0,890,0,0
2017-12-28,3536.95,3537.0,3505.0,3513.0,597,0,0
2017-12-29,3516.0,3516.0,3479.0,3482.0,662,0,0
2018-01-02,3497.0,3501.0,3454.0,3478.0,845,0,0
2018-01-03,3478.95,3506.0,3474.0,3506.0,710,0,0
2018-01-04,3505.95,3568.0,3505.95,3556.0,791,0,0
2018-01-05,3554.95,3599.0,3553.95,3597.0,853,0,0
2018-01-08,3603.0,3611.0,3594.95,3606.0,889,0,0
2018-01-09,3603.95,3617.0,3599.95,3614.0,760,0,0
2018-01-10,3608.95,3612.0,3585.0,3594.0,917,0,0
2018-01-11,3599.95,3605.0,3575.0,3595.0,807,0,0
2018-01-12,3594.95,3604.0,3585.95,3600.0,800,0,0
2018-01-15,3604.95,3611.5,3591.0,3597.0,552,0,0
