date_time,open,high,low,close,volume,spread,real_volume
2004-06-17,1.7429,1.7763,1.7408,1.7687,11334,150,0
2004-06-18,1.7686,1.7686,1.7508,1.7618,20042,150,0
2004-06-21,1.7576,1.7634,1.7492,1.7539,6536,150,0
2004-06-22,1.7537,1.7643,1.7512,1.7613,6940,150,0
2004-06-23,1.7612,1.7662,1.7533,1.7567,7471,150,0
2004-06-24,1.7566,1.7586,1.7346,1.7401,8394,150,0
2004-06-25,1.7398,1.7409,1.729,1.7372,7167,150,0
2004-06-28,1.7395,1.746,1.7371,1.7391,7287,150,0
2004-06-29,1.739,1.7572,1.7365,1.7474,8091,150,0
2004-06-30,1.7473,1.7592,1.7429,1.745,9212,150,0
2004-07-01,1.7453,1.748,1.7212,1.7235,8362,150,0
2004-07-02,1.7237,1.7347,1.7187,1.7258,7735,150,0
2004-07-05,1.7288,1.7313,1.72,1.7254,4339,150,0
2004-07-06,1.7253,1.7259,1.711,1.7204,6920,150,0
2004-07-07,1.7204,1.7211,1.7073,1.7105,8281,150,0
2004-07-08,1.7107,1.7224,1.7078,1.7179,7345,150,0
2004-07-09,1.718,1.7206,1.7117,1.7185,6968,150,0
2004-07-12,1.7162,1.7163,1.7022,1.7063,6950,150,0
2004-07-13,1.7061,1.7084,1.6969,1.7007,8590,150,0
2004-07-14,1.7006,1.7139,1.6978,1.7086,7238,150,0
2004-07-15,1.7086,1.7148,1.7039,1.7102,9294,150,0
2004-07-16,1.7107,1.7134,1.6984,1.6999,13321,150,0
2004-07-19,1.7004,1.7008,1.6906,1.6991,13023,150,0
2004-07-20,1.6985,1.7022,1.6901,1.6943,14096,150,0
2004-07-21,1.6937,1.7169,1.6913,1.7136,17894,150,0
2004-07-22,1.7135,1.7264,1.7083,1.7147,17054,150,0
2004-07-23,1.7159,1.7237,1.7031,1.7036,16475,150,0
2004-07-26,1.7073,1.7142,1.7016,1.7123,15105,150,0
2004-07-27,1.7119,1.7291,1.7032,1.7224,17203,150,0
2004-07-28,1.7223,1.7292,1.7166,1.726,18658,150,0
2004-07-29,1.7262,1.7336,1.7193,1.723,20403,150,0
2004-07-30,1.723,1.7289,1.7077,1.7098,18956,150,0
2004-08-02,1.7142,1.7202,1.7009,1.7099,15510,150,0
2004-08-03,1.7098,1.7191,1.7021,1.706,19105,150,0
2004-08-04,1.7048,1.7137,1.7034,1.7086,18466,150,0
2004-08-05,1.7084,1.7158,1.708,1.7137,15331,150,0
2004-08-06,1.7136,1.7214,1.7115,1.7196,15783,150,0
2004-08-09,1.7202,1.7229,1.7074,1.7157,12919,150,0
2004-08-10,1.7165,1.7218,1.7112,1.7149,13414,150,0
2004-08-11,1.7149,1.7191,1.7069,1.7112,11685,150,0
2004-08-12,1.7105,1.7162,1.7085,1.7149,13457,150,0
2004-08-13,1.7148,1.73,1.7131,1.725,12836,150,0
2004-08-16,1.7253,1.726,1.7141,1.7201,14945,150,0
2004-08-17,1.7203,1.7285,1.7171,1.7252,14984,150,0
2004-08-18,1.7253,1.7273,1.7187,1.7239,11127,150,0
2004-08-19,1.7241,1.7277,1.7017,1.7064,10390,150,0
2004-08-20,1.7058,1.7091,1.6975,1.7014,12005,150,0
2004-08-23,1.701,1.7074,1.6927,1.7062,14975,150,0
2004-08-24,1.7063,1.7185,1.7012,1.7127,13246,150,0
2004-08-25,1.7126,1.7151,1.7055,1.7117,6334,150,0
2004-08-26,1.7081,1.7244,1.7058,1.7209,12858,150,0
2004-08-27,1.7211,1.7211,1.7054,1.7084,15445,150,0
2004-08-30,1.7115,1.7265,1.7081,1.724,8584,150,0
2004-08-31,1.7241,1.7331,1.7187,1.7264,12692,150,0
2004-09-01,1.7265,1.7366,1.7242,1.7354,11516,150,0
2004-09-02,1.7353,1.7509,1.7318,1.7471,12203,150,0
2004-09-03,1.747,1.7515,1.7399,1.7437,12949,150,0
2004-09-06,1.7434,1.7481,1.74,1.7434,6681,150,0
2004-09-07,1.7439,1.7473,1.7366,1.7424,11120,150,0
2004-09-08,1.7428,1.7541,1.7402,1.7456,13567,150,0
