date_time,open,high,low,close,volume,spread,real_volume
2015-11-17,7.46089,7.46154,7.46042,7.46042,1646,31,830506000
2015-11-18,7.46019,7.46607,7.45897,7.45914,5586,16,1350220000
2015-11-19,7.45891,7.46051,7.45883,7.45969,3212,42,1310564000
2015-11-20,7.45922,7.46443,7.45588,7.46005,57213,0,993288000
2015-11-23,7.45692,7.46049,7.45692,7.46049,3502,0,2062782000
2015-11-24,7.46049,7.46072,7.45859,7.46039,38481,50,1808840000
2015-11-25,7.46039,7.46069,7.45869,7.45979,3411,50,2124355000
2015-11-26,7.45979,7.46075,7.45744,7.4602,28854,37,1651156000
2015-11-27,7.45999,7.46076,7.45881,7.46002,31860,0,1729497000
2015-11-30,7.45996,7.46039,7.45873,7.45979,3500,0,1712152000
2015-12-01,7.45979,7.46009,7.45876,7.45958,2449,0,662149000
2015-12-02,7.4596,7.45978,7.45819,7.45906,2600,21000,0
2015-12-03,7.45877,7.45981,7.45642,7.45981,25870,90,0
2015-12-04,7.45969,7.46255,7.45596,7.45952,96214,21000,0
2015-12-07,7.4594,7.46062,7.45572,7.46055,36805,0,0
2015-12-08,7.46054,7.46124,7.4589,7.4606,20488,21000,0
2015-12-09,7.46054,7.46131,7.45943,7.46114,38864,21000,0
2015-12-10,7.46082,7.46097,7.45908,7.46055,36043,71,0
2015-12-11,7.46049,7.46182,7.45897,7.46122,53175,90,0
2015-12-14,7.4608,7.46167,7.45925,7.46132,31586,21000,0
2015-12-15,7.46129,7.46284,7.45976,7.46197,49001,0,0
2015-12-16,7.46203,7.46224,7.45988,7.46192,36966,0,0
2015-12-17,7.462,7.462,7.45947,7.4602,37842,21000,0
2015-12-18,7.4607,7.46321,7.4574,7.46085,34439,0,0
2015-12-21,7.46111,7.46213,7.45949,7.46128,31608,21000,0
2015-12-22,7.4613,7.46191,7.45924,7.46154,67289,21000,0
2015-12-23,7.46136,7.46282,7.45989,7.46248,28460,90,0
2015-12-24,7.46251,7.46315,7.46117,7.46232,5765,21000,0
2015-12-28,7.46206,7.46467,7.46084,7.46207,17198,21000,0
2015-12-29,7.46205,7.46341,7.45703,7.46265,48010,21000,0
2015-12-30,7.46241,7.46267,7.46004,7.46163,16079,21000,0
2015-12-31,7.46126,7.46272,7.46015,7.46213,5803,21000,0
2016-01-04,7.46186,7.46402,7.45883,7.46212,17273,21000,0
2016-01-05,7.4622,7.46225,7.45778,7.46045,13136,21000,0
2016-01-06,7.4603,7.46135,7.45823,7.46092,17712,21000,0
2016-01-07,7.46076,7.46127,7.45615,7.46002,34284,21000,0
2016-01-08,7.45997,7.46081,7.45699,7.4602,47082,0,0
2016-01-11,7.45956,7.46131,7.45771,7.46093,43981,21000,0
2016-01-12,7.46092,7.46204,7.45887,7.46094,37617,21000,0
2016-01-13,7.46091,7.4628,7.4596,7.46229,43387,21000,0
2016-01-14,7.46231,7.46307,7.46015,7.46252,53995,21000,0
2016-01-15,7.46246,7.46531,7.46114,7.46277,50710,21000,0
