date_time,open,high,low,close,volume,spread,real_volume
2015-01-01,315.86,315.86,315.21,315.86,119,1080,0
2015-01-02,315.84,319.65,315.13,317.41,36522,150,0
2015-01-04,317.67,318.1,317.16,317.75,33,400,0
2015-01-05,317.78,320.9,316.39,317.04,13074,150,0
2015-01-06,317.02,320.61,316.93,319.16,24719,150,0
2015-01-07,319.17,320.81,317.48,317.56,29085,150,0
2015-01-08,317.56,318.22,315.65,315.72,30293,150,0
2015-01-09,315.72,318.14,315.72,315.76,12182,150,0
2015-01-11,316.07,316.29,315.96,316.27,183,920,0
2015-01-12,316.27,319.34,316.18,317.16,21585,150,0
2015-01-13,317.1,319.03,317.0,318.05,18871,150,0
2015-01-14,318.05,320.57,317.98,319.59,14193,150,0
2015-01-15,319.45,327.03,318.43,322.46,20616,150,0
2015-01-16,322.38,323.83,317.69,318.13,16229,150,0
2015-01-18,317.88,318.65,317.88,318.1,13,1470,0
2015-01-19,318.19,320.17,317.89,319.7,8658,150,0
2015-01-20,319.7,320.2,315.49,315.63,7868,150,0
2015-01-21,315.63,316.68,313.84,314.76,12885,150,0
2015-01-22,314.76,315.66,312.06,312.15,15738,150,0
2015-01-23,312.15,312.64,309.22,309.37,13601,150,0
2015-01-25,309.19,309.43,309.17,309.39,19,860,0
2015-01-26,309.39,312.14,309.35,310.65,8329,150,0
2015-01-27,310.6,312.71,310.48,310.96,16450,150,0
2015-01-28,310.96,312.8,310.09,312.13,13524,150,0
2015-01-29,312.19,313.15,310.21,310.6,15523,150,0
2015-01-30,310.55,312.21,310.22,310.4,20478,150,0
2015-02-01,310.41,310.55,310.1,310.42,43,990,0
2015-02-02,310.42,311.55,309.8,310.46,9622,150,0
2015-02-03,310.52,310.88,308.2,308.39,10704,150,0
2015-02-04,308.39,309.4,307.25,308.28,10034,150,0
2015-02-05,308.23,309.21,305.68,306.54,14346,150,0
2015-02-06,306.53,307.55,305.46,305.59,12028,150,0
2015-02-08,305.32,305.61,305.32,305.56,51,780,0
2015-02-09,305.65,308.82,305.56,307.5,10193,150,0
2015-02-10,307.47,310.69,307.12,308.5,15997,150,0
2015-02-11,308.45,310.6,308.39,308.79,16489,150,0
2015-02-12,308.64,309.57,305.52,305.61,12674,150,0
2015-02-13,305.55,306.95,305.45,306.26,8068,150,0
2015-02-15,306.23,306.23,306.23,306.23,49,450,0
2015-02-16,306.23,307.14,305.62,306.43,7768,150,0
2015-02-17,306.36,308.11,306.27,307.58,8007,150,0
2015-02-18,307.57,308.68,305.42,305.69,10042,150,0
2015-02-19,305.65,306.42,304.32,305.38,11133,150,0
2015-02-20,305.33,306.47,304.01,304.81,11067,150,0
2015-02-22,304.54,305.03,304.54,304.98,80,880,0
2015-02-23,305.2,306.08,304.73,305.27,19016,150,0
2015-02-24,305.27,305.99,304.77,305.04,18860,150,0
2015-02-25,305.04,305.51,304.27,304.34,6895,150,0
2015-02-26,304.39,304.65,302.42,302.5,14277,150,0
2015-02-27,302.5,303.41,302.3,302.33,8016,150,0
2015-03-01,302.34,302.89,302.33,302.87,89,500,0
2015-03-02,302.87,304.75,302.53,304.69,31416,150,0
2015-03-03,304.75,306.79,304.12,306.25,10797,150,0
2015-03-04,306.38,307.75,305.12,306.11,14153,150,0
2015-03-05,306.14,306.29,304.36,304.98,15564,150,0
2015-03-06,305.01,305.82,302.82,304.97,16092,150,0
2015-03-08,304.82,305.0,304.71,304.76,1248,960,0
2015-03-09,304.76,306.13,303.8,305.2,8587,80,1328000000
2015-03-10,305.13,309.23,304.83,307.22,12161,30,4943250000
2015-03-11,307.16,307.69,302.82,303.3,13641,30,6553650000
2015-03-12,303.29,304.41,302.71,303.76,12403,30,7921300000
2015-03-13,303.71,307.3,303.52,305.54,10070,30,6945250000
2015-03-15,305.62,305.69,305.47,305.69,59,610,53250000
2015-03-16,305.56,306.19,303.07,303.23,35812,30,27485200000
2015-03-17,303.24,304.51,303.08,303.73,19330,30,17009200000
2015-03-18,303.73,304.46,302.82,302.93,10937,40,8974450000
2015-03-19,302.92,304.46,301.15,303.31,9281,30,5889700000
2015-03-20,303.24,305.49,302.52,302.79,7774,30,6069900000
2015-03-22,302.92,303.11,302.92,303.11,5,430,10750000
2015-03-23,303.13,304.74,302.8,303.31,6050,30,3620400000
2015-03-24,303.24,303.87,298.44,298.67,21140,30,17778547000
2015-03-25,298.68,299.51,297.48,298.91,14776,30,9596500000
2015-03-26,298.89,300.88,298.42,299.8,9072,30,7394650000
2015-03-27,299.78,301.24,299.57,299.8,7253,30,5208550000
2015-03-29,299.81,300.01,299.81,299.9,6,460,4000000
2015-03-30,299.85,300.22,298.75,299.15,4483,0,2825750000
2015-03-31,299.13,300.67,298.71,299.83,9737,0,7708650000
2015-04-01,299.83,300.7,297.62,298.55,8037,30,6016890000
2015-04-02,298.55,300.38,298.42,299.61,6457,50,4214150000
2015-04-03,299.6,300.41,298.4,298.65,2870,30,1904750000
2015-04-05,298.6,298.94,298.6,298.82,10,150,6500000
2015-04-06,298.84,299.39,298.27,298.84,2759,30,1967850000
2015-04-07,298.88,299.5,297.76,298.2,7063,50,5798900000
2015-04-08,298.2,298.46,296.09,296.47,21089,30,9599350000
2015-04-09,296.49,298.81,296.23,298.14,9398,30,7667490000
2015-04-10,298.14,298.71,296.02,296.47,8700,30,6975650000
2015-04-12,295.96,296.72,295.96,296.56,66,530,63000000
2015-04-13,296.67,297.43,296.27,296.47,5965,30,5366600000
2015-04-14,296.47,296.91,295.7,296.49,8671,50,6414250000
2015-04-15,296.5,300.47,295.5,300.12,13402,30,10749150000
2015-04-16,300.11,302.26,298.81,301.64,17751,30,14949250000
2015-04-17,301.69,302.4,300.55,300.86,15281,30,13152200000
2015-04-19,300.45,300.5,300.23,300.5,21,580,6250000
2015-04-20,300.54,301.74,297.19,297.97,40661,40,36458400000
2015-04-21,297.97,298.96,297.11,298.61,37108,30,35066650000
2015-04-22,298.63,301.99,298.03,300.37,29368,30,27025500000
2015-04-23,300.37,302.43,299.52,299.79,9765,30,8217000000
2015-04-24,299.79,303.66,299.63,303.02,9071,30,8590250000
2015-04-26,302.74,302.74,302.44,302.54,11,1050,4250000
2015-04-27,302.66,303.89,299.48,299.97,7002,30,5346350000
2015-04-28,299.98,301.8,299.82,300.68,7831,30,7991850000
2015-04-29,300.68,303.16,300.65,302.15,19188,30,17366950000
2015-04-30,302.1,304.23,301.94,303.42,10563,40,9573850000
2015-05-01,303.42,304.57,303.02,303.64,4683,40,2853750000
2015-05-03,302.82,303.33,302.82,303.33,41,520,26500000
2015-05-04,303.33,303.86,302.54,303.28,9839,50,6175250000
2015-05-05,303.28,304.24,301.16,303.46,22100,20,12814300000
2015-05-06,303.46,306.14,303.37,305.39,19273,30,14423325000
2015-05-07,305.41,307.54,302.82,303.25,13757,20,11395750000
2015-05-08,303.25,304.45,302.09,302.38,10004,30,7017900000
2015-05-10,302.36,302.36,302.16,302.21,11,380,3750000
2015-05-11,302.32,304.98,302.21,304.85,8057,30,7247850000
2015-05-12,306.26,306.95,306.26,306.82,27,30,11100000
2015-05-13,306.83,307.96,304.81,307.62,15824,20,12005550000
2015-05-14,307.66,308.23,305.57,306.33,13107,30,11007950000
2015-05-15,306.33,307.37,305.13,306.08,14559,30,12699700000
2015-05-17,305.92,305.93,305.67,305.89,72,710,28750000
2015-05-18,305.89,309.53,305.89,308.66,9209,30,6661150000
2015-05-19,308.67,308.91,304.52,305.73,13579,30,10900600000
2015-05-20,305.73,307.26,305.49,306.72,13298,30,10450550000
2015-05-21,306.72,307.77,306.06,307.75,10647,40,8154100000
2015-05-22,307.73,308.37,306.49,306.83,8456,30,6310100000
2015-05-24,306.84,307.25,306.55,306.82,55,530,28750000
2015-05-25,306.99,308.25,306.84,307.8,5262,60,4034400000
2015-05-26,307.88,309.62,307.69,308.64,13654,30,11983050000
2015-05-27,308.64,309.35,308.09,308.96,18475,30,16861550000
2015-05-28,308.98,309.48,308.15,309.15,11945,30,9446150000
2015-05-29,309.15,309.7,308.54,308.93,7187,30,4333550000
2015-05-31,308.53,308.85,308.53,308.79,33,770,22250000
2015-06-01,308.86,309.88,308.03,308.39,14595,30,11136250000
2015-06-02,308.38,312.41,308.36,311.72,15765,30,10262950000
2015-06-03,311.73,313.29,311.1,312.55,12782,30,8713500000
2015-06-04,312.51,314.15,310.92,311.16,18180,30,13235700000
2015-06-05,311.16,313.22,310.73,311.44,10125,30,6588150000
2015-06-07,311.75,311.75,311.2,311.41,16,650,12250000
2015-06-08,311.51,314.31,311.51,313.53,9838,30,6642550000
2015-06-09,313.5,314.05,312.05,312.77,14036,30,10788000000
2015-06-10,312.77,313.78,311.75,312.07,11251,30,7781240000
2015-06-11,312.09,312.73,310.52,310.55,10248,30,8986950000
2015-06-12,310.59,312.73,310.56,311.68,13297,40,10370350000
2015-06-14,312.42,312.75,312.42,312.73,14,280,5250000
2015-06-15,312.72,313.68,312.14,312.26,7417,30,5194900000
2015-06-16,312.26,313.26,310.5,311.48,9221,30,6496400000
2015-06-17,311.49,312.54,310.63,311.06,10969,30,7290350000
2015-06-18,311.11,312.89,309.94,312.37,10893,30,8465700000
2015-06-19,312.42,313.79,312.33,313.02,4861,30,2867700000
2015-06-21,312.54,312.88,312.54,312.85,11,520,3250000
2015-06-22,312.87,313.25,310.371,310.57,13407,30,7952250000
2015-06-23,310.6,311.01,308.71,309.516,14663,31,7132200000
