date_time,open,high,low,close,volume,spread,real_volume
2015-01-01,4.2814,4.2847,4.2772,4.2846,119,720,0
2015-01-02,4.2846,4.3157,4.2758,4.2929,16151,350,0
2015-01-04,4.2949,4.295,4.2903,4.2928,120,1090,0
2015-01-05,4.2927,4.3172,4.2827,4.2861,18997,350,0
2015-01-06,4.287,4.3211,4.284,4.3154,14339,350,0
2015-01-07,4.3155,4.3205,4.2886,4.2918,10271,350,0
2015-01-08,4.2915,4.3004,4.2762,4.2771,11232,350,0
2015-01-09,4.2803,4.2871,4.2522,4.257,22071,350,0
2015-01-11,4.2646,4.2664,4.2629,4.2641,217,610,0
2015-01-12,4.2641,4.2842,4.2591,4.2709,15289,350,0
2015-01-13,4.271,4.2864,4.269,4.2772,12718,350,0
2015-01-14,4.2774,4.2947,4.2506,4.2542,13516,350,0
2015-01-15,4.2543,4.3656,4.2466,4.3015,21996,350,0
2015-01-16,4.3044,4.3339,4.2976,4.3054,15352,350,0
2015-01-18,4.306,4.31,4.3039,4.308,227,490,0
2015-01-19,4.3075,4.3328,4.3007,4.3268,15906,350,0
2015-01-20,4.3263,4.3341,4.3196,4.3276,10761,350,0
2015-01-21,4.3271,4.3299,4.2916,4.2987,14953,350,0
2015-01-22,4.2979,4.3093,4.2446,4.2515,27456,350,0
2015-01-23,4.2508,4.2564,4.1961,4.2002,18579,350,0
2015-01-25,4.2025,4.2035,4.2003,4.2035,71,710,0
2015-01-26,4.2035,4.234,4.199,4.2108,14936,350,0
2015-01-27,4.2094,4.2399,4.2081,4.2309,21395,350,0
2015-01-28,4.2309,4.2483,4.2254,4.2419,21255,350,0
2015-01-29,4.2421,4.2514,4.2015,4.2082,17777,350,0
2015-01-30,4.2087,4.2175,4.1785,4.1785,20400,350,0
2015-02-01,4.1802,4.1809,4.1799,4.1799,157,780,0
2015-02-02,4.1795,4.1857,4.1645,4.182,12168,350,0
2015-02-03,4.1853,4.19,4.1577,4.1666,20484,350,0
2015-02-04,4.1669,4.1825,4.153,4.162,17559,350,0
2015-02-05,4.1615,4.1815,4.1591,4.1646,16159,350,0
2015-02-06,4.1644,4.1737,4.1512,4.1515,16468,350,0
2015-02-08,4.1506,4.1567,4.1506,4.1555,158,750,0
2015-02-09,4.1555,4.1931,4.1541,4.1799,23476,350,0
2015-02-10,4.1796,4.2025,4.1788,4.1964,18041,350,0
2015-02-11,4.2,4.2232,4.1923,4.1989,15869,350,0
2015-02-12,4.2021,4.2104,4.1605,4.161,19964,350,0
2015-02-13,4.1632,4.1858,4.1608,4.1799,16537,350,0
2015-02-15,4.1688,4.1739,4.1688,4.1734,29,900,0
2015-02-16,4.1738,4.1834,4.1699,4.1727,10144,350,0
2015-02-17,4.1729,4.194,4.1723,4.1866,13306,350,0
2015-02-18,4.1865,4.1981,4.1784,4.1803,15491,350,0
2015-02-19,4.1817,4.1853,4.1581,4.1661,14935,350,0
2015-02-20,4.1687,4.1827,4.1604,4.162,15896,350,0
2015-02-22,4.162,4.1659,4.162,4.1659,2,1030,0
2015-02-23,4.1701,4.184,4.1672,4.1766,11137,350,0
2015-02-24,4.1769,4.1791,4.1522,4.1548,14001,350,0
2015-02-25,4.1582,4.1655,4.1537,4.1541,12641,350,0
2015-02-26,4.1561,4.1586,4.142,4.1459,13559,350,0
2015-02-27,4.1473,4.1556,4.14,4.1401,14226,350,0
2015-03-01,4.1433,4.1459,4.1414,4.1459,87,580,0
2015-03-02,4.1457,4.1568,4.1412,4.1529,18574,350,0
2015-03-03,4.1558,4.1699,4.1505,4.1617,19018,350,0
2015-03-04,4.1636,4.1813,4.1293,4.143,100215,350,0
2015-03-05,4.1436,4.1476,4.1287,4.1385,50191,350,0
2015-03-06,4.1384,4.1418,4.1099,4.1255,19319,350,0
2015-03-08,4.1279,4.1292,4.1274,4.1284,485,880,0
2015-03-09,4.1282,4.1342,4.1116,4.1162,33130,100,1994750000
2015-03-10,4.1159,4.1655,4.1122,4.1544,30457,80,13994250000
2015-03-11,4.1547,4.165,4.1175,4.1197,15800,70,8418300000
2015-03-12,4.1205,4.1463,4.1179,4.138,20947,210,18286030000
2015-03-13,4.1379,4.1608,4.1375,4.1464,20594,210,17321450000
2015-03-15,4.1472,4.1475,4.1463,4.1467,39,540,36000000
2015-03-16,4.1464,4.1505,4.1191,4.124,15356,220,14022250000
2015-03-17,4.1246,4.1487,4.1228,4.1348,30280,220,29620250000
2015-03-18,4.1346,4.1493,4.123,4.1338,16226,210,14465200000
2015-03-19,4.1335,4.1417,4.1091,4.1244,15530,220,11854890000
2015-03-20,4.1248,4.1405,4.1173,4.1227,15958,210,15023200000
2015-03-22,4.133,4.1331,4.1324,4.133,74,600,74000000
2015-03-23,4.1331,4.1397,4.1012,4.1052,23982,210,21383950000
2015-03-24,4.1049,4.1189,4.0883,4.0913,22957,210,20839350000
2015-03-25,4.0911,4.0981,4.0793,4.0812,36487,220,29365649000
2015-03-26,4.0805,4.0912,4.0692,4.0824,19050,210,16216680000
2015-03-27,4.0822,4.1028,4.0777,4.0977,17684,210,14272867000
2015-03-29,4.0966,4.1005,4.0966,4.099,30,580,16750000
2015-03-30,4.099,4.1016,4.0831,4.088,10999,230,8817536000
2015-03-31,4.088,4.0902,4.0688,4.072,12957,210,11540190000
2015-04-01,4.0719,4.0781,4.0513,4.0537,14914,210,13150160000
2015-04-02,4.0539,4.0749,4.0534,4.068,10924,220,8571627000
2015-04-03,4.068,4.0776,4.0507,4.0507,5948,220,3759600000
2015-04-05,4.0528,4.0535,4.0528,4.0535,4,1200,8000000
2015-04-06,4.054,4.0765,4.053,4.0761,5223,220,4565850000
2015-04-07,4.0761,4.0775,4.0378,4.0402,14677,220,11212866000
2015-04-08,4.0402,4.0437,4.0003,4.0004,19580,210,16977170000
2015-04-09,4.0042,4.0311,3.9995,4.0237,19044,210,17089690000
2015-04-10,4.0238,4.031,4.0045,4.0164,17877,220,14855273000
2015-04-12,4.015,4.0154,4.0139,4.0144,71,1200,141000000
2015-04-13,4.0163,4.0206,3.999,4.0031,15037,220,15380430000
2015-04-14,4.0032,4.0193,3.9957,4.0146,23434,220,20483690000
2015-04-15,4.0146,4.0281,4.0045,4.0172,24493,210,19755380000
2015-04-16,4.0172,4.0336,4.0048,4.0216,24060,210,27472930000
2015-04-17,4.0216,4.0329,4.0105,4.0205,23058,220,19187025000
2015-04-19,4.0193,4.0256,4.0193,4.0256,63,710,60500000
2015-04-20,4.0253,4.0259,3.9811,3.9859,18074,210,15785080000
2015-04-21,3.9859,3.9922,3.9655,3.9845,19010,210,16210930000
2015-04-22,3.9853,4.0057,3.9818,3.9861,21182,210,18817710000
2015-04-23,3.9861,4.0179,3.9836,3.9974,27989,220,21056410000
2015-04-24,3.9975,4.0437,3.9947,4.0342,23317,210,21744800000
2015-04-26,4.0315,4.032,4.0237,4.0257,129,1000,340950000
2015-04-27,4.0279,4.04,3.9829,3.9849,20074,210,15889330000
2015-04-28,3.9854,4.0103,3.9838,3.9915,31385,210,29671710000
2015-04-29,3.9916,4.0215,3.9916,4.006,24565,210,20530750000
2015-04-30,4.006,4.0467,4.0024,4.038,25539,210,20809060000
2015-05-01,4.038,4.0749,4.0252,4.0638,14249,210,9037850000
2015-05-03,4.0596,4.0607,4.0593,4.0598,51,1020,15750000
2015-05-04,4.0607,4.0653,4.0223,4.0267,16630,210,13412110000
2015-05-05,4.0267,4.0382,4.0115,4.0275,23959,220,18927280000
2015-05-06,4.0273,4.0616,4.0273,4.0429,30989,210,27215600000
2015-05-07,4.0429,4.0848,4.0372,4.0427,25975,210,21870310000
2015-05-08,4.0427,4.0768,4.0337,4.0469,27368,210,22015320000
2015-05-10,4.0597,4.0615,4.0578,4.0605,68,820,34500000
2015-05-11,4.0614,4.0841,4.0552,4.0762,21451,210,16698165000
2015-05-12,4.0903,4.0984,4.0903,4.0976,75,280,12700000
2015-05-13,4.0977,4.0992,4.0671,4.0969,33875,210,29887220000
2015-05-14,4.096,4.1063,4.0615,4.0658,29035,210,25927850000
2015-05-15,4.0658,4.0696,4.0336,4.0388,29355,210,27026950000
2015-05-17,4.0391,4.0391,4.0391,4.0391,1,1490,100000
2015-05-18,4.0393,4.0763,4.0362,4.0722,22160,220,20182316000
2015-05-19,4.072,4.0751,4.0355,4.0499,39038,210,33964020000
2015-05-20,4.0494,4.0856,4.0445,4.0791,29610,210,25352940000
2015-05-21,4.0801,4.105,4.0745,4.0871,31652,220,24894450000
2015-05-22,4.0872,4.1093,4.0869,4.1044,23809,220,20032640000
2015-05-24,4.1177,4.1368,4.1176,4.1235,267,320,261250000
2015-05-25,4.1254,4.1319,4.0975,4.0999,10702,240,8097760000
2015-05-26,4.1,4.1533,4.0994,4.1421,34305,210,32260030000
2015-05-27,4.1421,4.1512,4.1207,4.1262,30776,210,27649310000
2015-05-28,4.1263,4.1421,4.1214,4.1383,30228,210,28944590000
