date_time,open,high,low,close,volume,spread,real_volume
2015-11-17,15.28314,15.33434,15.13854,15.18054,48963,382,29733601000
2015-11-18,15.18614,15.25434,15.06834,15.09174,62617,282,42132789000
2015-11-19,15.08634,15.19314,14.98794,15.04404,65504,232,38871406000
2015-11-20,15.03984,15.04214,14.82134,14.86264,52415,242,32000495000
2015-11-23,14.84724,14.97864,14.84324,14.97464,69137,12,53316375000
2015-11-24,14.97664,15.08864,14.85564,14.93684,78960,12,63653012000
2015-11-25,14.94414,15.04564,14.86674,15.00764,81102,12,65018232000
2015-11-26,14.99764,15.17364,14.99364,15.15464,52947,12,43207161000
2015-11-27,15.15614,15.27264,15.09514,15.26014,66587,12,53992737000
2015-11-30,15.21414,15.31214,15.17674,15.25764,76489,12,61711372000
2015-12-01,15.26014,15.29534,15.20064,15.27764,32981,82,28434569000
2015-12-15,16.66732,16.72612,16.20752,16.29729,104874,500,118498480000
2015-12-16,16.29674,16.51202,16.22942,16.29042,131077,0,171056900000
2015-12-17,16.28559,16.56422,16.14052,16.46029,126959,500,127922500000
2015-12-18,16.47564,16.53662,16.24372,16.37019,120531,0,161715900000
2015-12-21,16.33454,16.52242,16.26892,16.46662,111665,0,122282900000
2015-12-22,16.45359,16.68692,16.42672,16.60652,104593,0,105329500000
2015-12-23,16.59042,16.68962,16.50152,16.59772,90444,500,96629000000
2015-12-24,16.59902,16.75282,16.56892,16.74082,54783,500,64926900000
2015-12-28,16.63419,16.81432,16.57114,16.77064,73054,500,98881800000
2015-12-29,16.77064,16.81692,16.65012,16.70022,120077,0,161631900000
2015-12-30,16.70032,17.02075,16.67359,16.99425,97228,0,103946470000
2015-12-31,16.9857,17.06635,16.77935,16.80885,55786,570,83519200000
2016-01-04,16.80315,17.11785,16.75525,16.82285,98514,580,113491500000
2016-01-05,16.8224,16.89835,16.71055,16.79225,85307,0,121696700000
2016-01-06,16.79595,17.11165,16.7657,17.07895,90859,0,89904600000
2016-01-07,17.07525,17.58215,17.0478,17.5497,99535,570,87891500000
2016-01-08,17.4955,17.86254,17.25463,17.787,95632,570,104552000000
2016-01-11,17.85595,19.5598,17.855,18.20365,93824,570,99709400000
2016-01-12,18.17875,18.45285,17.83185,18.09135,85746,0,126869900000
2016-01-13,18.07115,18.09285,17.70565,18.00945,78498,575,72961500000
2016-01-14,17.99485,18.23385,17.77895,17.84495,110754,0,103486900000
2016-01-15,17.8243,18.4971,17.82175,18.32345,95355,0,424402600000
2016-01-18,18.3735,18.53965,18.1279,18.37945,66320,200,608105630000
2016-01-19,18.3797,18.3954,18.0139,18.25485,80490,0,312746000000
2016-01-20,18.27375,18.58045,18.20925,18.20925,88164,0,79674600000
2016-01-21,18.2023,18.41995,17.84745,17.98175,84114,0,77018100000
2016-01-22,17.96915,18.03815,17.71175,17.7369,65189,580,56560600000
2016-01-25,17.7417,17.95315,17.69105,17.93585,69188,570,63066800000
2016-01-26,17.93355,18.08965,17.71395,17.76805,57176,580,45555800000
2016-01-27,17.76105,17.98655,17.709,17.8624,65278,600,55844900000
2016-01-28,17.86315,17.93515,17.62205,17.69275,61954,640,54030400000
2016-01-29,17.6783,17.73565,17.1516,17.17715,74991,590,63093900000
2016-02-01,17.20995,17.57795,17.14215,17.29685,55466,0,43086300000
2016-02-02,17.28855,17.70935,17.28025,17.68745,61623,640,48581800000
2016-02-03,17.68255,18.06865,17.60315,17.66665,82331,570,68494300000
2016-02-04,17.66685,17.89525,17.61435,17.75005,89556,650,76542600000
2016-02-05,17.73275,17.88615,17.65035,17.84105,74222,620,61244900000
2016-02-08,17.82365,18.16385,17.70985,18.05015,92300,650,80420700000
2016-02-09,18.03055,18.28945,17.95275,18.12055,108407,0,102499000000
2016-02-10,18.1373,18.17745,17.59175,17.91965,109282,0,97960900000
2016-02-11,17.9255,18.21515,17.70965,17.8383,115491,570,98013400000
2016-02-12,17.94011,17.96995,17.67435,17.83125,86474,570,78075800000
2016-02-15,17.7715,17.84115,17.50485,17.51605,59500,570,53367200000
2016-02-16,17.51575,17.68515,17.48195,17.58345,73800,570,62902200000
2016-02-17,17.5923,17.71655,17.18185,17.19675,72835,0,63062500000
