date_time,open,high,low,close,volume,spread,real_volume
2007-08-21,2.4751,2.4801,2.471,2.4781,1520,100,0
2007-08-22,2.4782,2.4849,2.4621,2.4661,7851,100,0
2007-08-23,2.466,2.4691,2.4405,2.4466,8620,100,0
2007-08-24,2.4461,2.4568,2.4327,2.435,7886,100,0
2007-08-27,2.4321,2.4373,2.4206,2.4336,6430,100,0
2007-08-29,2.458,2.4798,2.4501,2.4556,9216,100,0
2007-08-30,2.4564,2.4764,2.4552,2.4681,8668,100,0
2007-08-31,2.468,2.4857,2.4436,2.4659,8076,100,0
2007-09-03,2.4714,2.4721,2.4504,2.4543,6303,100,0
2007-09-04,2.4541,2.4601,2.4313,2.4424,7674,100,0
2007-09-05,2.4423,2.4595,2.4322,2.4584,8379,100,0
2007-09-06,2.4578,2.466,2.4385,2.4411,8237,100,0
2007-09-07,2.4413,2.4618,2.4354,2.4543,6647,100,0
2007-09-10,2.4532,2.4812,2.4513,2.4566,18723,100,0
2007-09-11,2.4568,2.4608,2.4341,2.4379,7675,100,0
2007-09-12,2.4369,2.4421,2.4066,2.412,7611,100,0
2007-09-13,2.4121,2.4222,2.401,2.4194,20613,100,0
2007-09-14,2.4193,2.4203,2.3804,2.3841,15156,100,0
2007-09-17,2.3836,2.3977,2.3666,2.3939,18917,100,0
2007-09-18,2.3931,2.4018,2.3581,2.3632,24059,100,0
2007-09-19,2.3635,2.3707,2.3306,2.3351,23427,100,0
2007-09-20,2.3352,2.3382,2.3196,2.3278,20750,100,0
2007-09-21,2.328,2.341,2.3105,2.3299,19033,100,0
2007-09-24,2.3286,2.3418,2.3248,2.3287,13146,100,0
2007-09-25,2.3288,2.3355,2.3091,2.31,20348,100,0
2007-09-26,2.3101,2.3159,2.2978,2.2987,17729,100,0
2007-09-27,2.2989,2.3061,2.2926,2.304,19283,100,0
2007-09-28,2.3043,2.3099,2.2882,2.3053,21630,100,0
2007-10-01,2.3034,2.3042,2.2833,2.284,17703,100,0
2007-10-02,2.2841,2.3165,2.2818,2.3148,20942,100,0
2007-10-03,2.3141,2.3141,2.2878,2.3015,21066,100,0
2007-10-04,2.3018,2.3069,2.2918,2.2952,20690,100,0
2007-10-05,2.2953,2.2972,2.2677,2.2752,16952,100,0
2007-10-08,2.2687,2.282,2.2587,2.2813,7599,100,0
2007-10-09,2.2812,2.2812,2.2602,2.2612,15801,100,0
2007-10-10,2.2613,2.2827,2.261,2.2758,15922,100,0
2007-10-11,2.2761,2.2766,2.2444,2.2572,19887,100,0
2007-10-12,2.2573,2.2642,2.2439,2.2504,17830,100,0
2007-10-15,2.2457,2.2789,2.2437,2.2679,15771,100,0
2007-10-16,2.2681,2.3043,2.2638,2.2837,23072,100,0
2007-10-17,2.2833,2.3024,2.2736,2.2883,24404,100,0
2007-10-18,2.2885,2.3002,2.2785,2.283,20300,100,0
2007-10-19,2.2829,2.3044,2.2788,2.304,19756,100,0
2007-10-22,2.3104,2.32,2.2883,2.2883,24507,100,0
2007-10-23,2.2882,2.2994,2.2808,2.2839,20606,100,0
2007-10-24,2.2842,2.2885,2.266,2.2688,23706,100,0
2007-10-25,2.2686,2.2726,2.256,2.2576,19967,100,0
2007-10-26,2.2577,2.2592,2.2339,2.2345,17167,100,0
2007-10-29,2.23,2.2427,2.2184,2.2318,17769,100,0
2007-10-30,2.2321,2.254,2.2321,2.248,19339,100,0
2007-10-31,2.2472,2.2545,2.2253,2.2321,21891,100,0
2007-11-01,2.2319,2.2819,2.2267,2.2737,25380,100,0
2007-11-02,2.2742,2.2769,2.2512,2.2629,24736,100,0
2007-11-05,2.2669,2.2746,2.256,2.2572,20567,100,0
2007-11-06,2.2581,2.2607,2.241,2.2418,17128,100,0
2007-11-07,2.2421,2.2829,2.2307,2.2752,28852,100,0
2007-11-08,2.2748,2.2874,2.2524,2.2731,27864,100,0
2007-11-09,2.2729,2.3027,2.2644,2.2924,29472,100,0
2007-11-12,2.3001,2.3515,2.295,2.3332,32115,100,0
2007-11-13,2.3336,2.3399,2.3031,2.3055,27160,100,0
2007-11-14,2.3051,2.3095,2.2789,2.289,28150,100,0
2007-11-15,2.2894,2.3137,2.2816,2.3077,24693,100,0
2007-11-16,2.3073,2.3144,2.2875,2.3009,24946,100,0
2007-11-19,2.2959,2.3279,2.2833,2.3213,21172,100,0
2007-11-20,2.3212,2.3376,2.3079,2.31,27296,100,0
2007-11-21,2.3103,2.3795,2.3103,2.3663,25872,100,0
2007-11-22,2.3668,2.3749,2.3501,2.3636,15245,100,0
2007-11-23,2.3639,2.3829,2.3468,2.3499,20020,100,0
2007-11-26,2.3472,2.3875,2.3314,2.3796,22361,100,0
2007-11-27,2.3789,2.379,2.3519,2.3571,26182,100,0
2007-11-28,2.3572,2.3653,2.3322,2.3426,25500,100,0
2007-11-29,2.3422,2.3572,2.331,2.3391,24344,100,0
2007-11-30,2.3387,2.3402,2.3173,2.3271,23836,100,0
2007-12-03,2.3227,2.349,2.3219,2.3435,18400,100,0
2007-12-04,2.3434,2.3679,2.3417,2.363,21126,100,0
2007-12-05,2.3623,2.3683,2.3206,2.3308,24105,100,0
2007-12-06,2.3304,2.3304,2.304,2.3073,21519,100,0
2007-12-07,2.3072,2.3245,2.3012,2.3173,18006,100,0
2007-12-10,2.3204,2.3283,2.3073,2.3083,16218,100,0
