date_time,open,high,low,close,volume,spread,real_volume
2015-01-01,5.5088,5.5155,5.5083,5.5151,164,920,0
2015-01-02,5.5099,5.5691,5.4905,5.4953,34647,350,0
2015-01-05,5.4953,5.5219,5.4641,5.4785,44963,350,0
2015-01-06,5.4778,5.5108,5.4661,5.5049,47206,350,0
2015-01-07,5.5049,5.5156,5.4758,5.4793,51694,350,0
2015-01-08,5.4798,5.5023,5.4667,5.4755,43732,350,0
2015-01-09,5.4763,5.4952,5.4497,5.4588,54974,350,0
2015-01-11,5.4648,5.4648,5.4578,5.4588,329,540,0
2015-01-12,5.4583,5.493,5.4488,5.4781,47482,350,0
2015-01-13,5.4778,5.5253,5.465,5.5094,53004,350,0
2015-01-14,5.5094,5.5485,5.4891,5.4988,50809,350,0
2015-01-15,5.4988,5.666,5.4885,5.6368,74871,350,0
2015-01-16,5.636,5.6858,5.6123,5.6408,47040,350,0
2015-01-18,5.6408,5.6438,5.6335,5.6373,315,480,0
2015-01-19,5.6403,5.6685,5.6245,5.6343,35916,350,0
2015-01-20,5.6338,5.6885,5.628,5.6764,35917,350,0
2015-01-21,5.677,5.6823,5.5733,5.6028,46798,350,0
2015-01-22,5.603,5.656,5.5968,5.6116,74845,350,0
2015-01-23,5.6131,5.6812,5.5993,5.6208,53719,350,0
2015-01-25,5.6558,5.6653,5.6543,5.6613,842,550,0
2015-01-26,5.6613,5.6768,5.597,5.6585,42486,350,0
2015-01-27,5.6583,5.6748,5.6183,5.6538,56012,350,0
2015-01-28,5.6525,5.7028,5.6458,5.7005,46040,350,0
2015-01-29,5.7004,5.7078,5.5843,5.6053,42944,350,0
2015-01-30,5.6053,5.6123,5.5505,5.5783,46040,350,0
2015-02-02,5.5783,5.5788,5.5169,5.5468,39472,350,0
2015-02-03,5.5472,5.5563,5.4934,5.5063,53165,350,0
2015-02-04,5.506,5.584,5.5058,5.5753,48994,350,0
2015-02-05,5.5753,5.595,5.5493,5.5635,38584,350,0
2015-02-06,5.568,5.6129,5.5661,5.5963,44129,350,0
2015-02-08,5.5993,5.5993,5.5993,5.5993,1,1140,0
2015-02-09,5.5993,5.6522,5.5864,5.6174,42221,350,0
2015-02-10,5.6178,5.6703,5.6152,5.6592,41726,350,0
2015-02-11,5.6588,5.711,5.6465,5.6498,33753,350,0
2015-02-12,5.6503,5.6833,5.6123,5.6165,41468,350,0
2015-02-13,5.6168,5.656,5.6094,5.6538,35792,350,0
2015-02-16,5.6425,5.6645,5.6255,5.6478,26979,350,0
2015-02-17,5.6495,5.6698,5.621,5.6337,37122,350,0
2015-02-18,5.6338,5.7,5.6333,5.6617,44985,350,0
2015-02-19,5.6617,5.6722,5.6355,5.6533,35127,350,0
2015-02-20,5.6538,5.6965,5.6159,5.6368,45305,350,0
2015-02-23,5.6386,5.7094,5.6386,5.6969,26374,350,0
2015-02-24,5.6972,5.7071,5.6593,5.6634,34553,350,0
2015-02-25,5.6647,5.6923,5.6628,5.6798,34372,350,0
2015-02-26,5.6808,5.7128,5.6687,5.7092,39587,350,0
2015-02-27,5.7065,5.7248,5.688,5.7118,37876,200,0
2015-03-01,5.7158,5.7188,5.713,5.7183,1461,710,0
2015-03-02,5.7178,5.7255,5.6855,5.7073,28064,350,0
2015-03-03,5.7078,5.7313,5.6993,5.719,30639,350,0
2015-03-04,5.7201,5.7663,5.6954,5.7105,52562,350,0
2015-03-05,5.711,5.7369,5.6795,5.7239,43665,350,0
2015-03-06,5.7237,5.7353,5.6806,5.724,46448,350,0
2015-03-08,5.73,5.7386,5.73,5.7386,15,1040,0
2015-03-09,5.7372,5.741,5.7061,5.7369,25698,280,2961000000
2015-03-10,5.7367,5.8676,5.7313,5.8603,32823,170,13578800000
2015-03-11,5.8595,5.9054,5.8194,5.8339,30518,200,15519500000
2015-03-12,5.8324,5.8565,5.7843,5.8016,21570,330,11412450000
2015-03-13,5.8021,5.8399,5.7918,5.8191,20968,330,15373150000
2015-03-15,5.8272,5.8312,5.8225,5.8258,273,670,191100000
2015-03-16,5.8244,5.8392,5.7551,5.7836,12081,290,8936350000
2015-03-17,5.7847,5.7926,5.7377,5.7548,14321,290,10057500000
2015-03-18,5.7548,5.7706,5.6572,5.7064,14623,350,10601250000
2015-03-19,5.7063,5.7641,5.6857,5.7049,19556,330,13996600000
2015-03-20,5.7056,5.7191,5.6781,5.6941,16711,280,12743200000
2015-03-22,5.6942,5.7077,5.6937,5.7039,212,870,148400000
2015-03-23,5.7038,5.7144,5.5984,5.6065,19707,340,14614530000
2015-03-24,5.6067,5.6243,5.5522,5.5647,15323,270,11346450000
2015-03-25,5.5648,5.5802,5.5306,5.5379,22793,330,16344850000
2015-03-26,5.5377,5.5781,5.5193,5.5713,19319,340,13945950000
2015-03-27,5.5716,5.6393,5.5647,5.5895,22477,300,14731180000
2015-03-29,5.604,5.607,5.599,5.603,545,800,532400000
2015-03-30,5.6031,5.6162,5.5732,5.5883,18734,300,11164525000
2015-03-31,5.5882,5.6395,5.5839,5.619,22930,290,14239700000
2015-04-01,5.619,5.6258,5.5599,5.5799,21178,250,12920785000
2015-04-02,5.5801,5.5931,5.5319,5.5403,17635,260,10473530000
2015-04-03,5.5394,5.557,5.4926,5.5138,12300,350,9028100000
2015-04-05,5.4976,5.4981,5.4973,5.4981,4,1500,4000000
2015-04-06,5.5008,5.5542,5.494,5.5474,10703,320,9479300000
2015-04-07,5.5473,5.5687,5.528,5.5342,20168,300,12356620000
2015-04-08,5.5341,5.5517,5.511,5.5215,22188,260,14246865000
2015-04-09,5.5222,5.5653,5.5162,5.5497,21634,260,14237235000
2015-04-10,5.551,5.5749,5.5226,5.5498,24289,260,15339550000
2015-04-12,5.5429,5.5455,5.5408,5.545,70,1640,208600000
2015-04-13,5.5483,5.5776,5.5255,5.5565,23031,270,14794600000
2015-04-14,5.5577,5.5749,5.5393,5.5676,24981,270,15856450000
2015-04-15,5.5676,5.6112,5.5568,5.5792,28150,300,17855100000
2015-04-16,5.5798,5.6227,5.5571,5.5787,31077,280,20258600000
2015-04-17,5.5798,5.6083,5.5626,5.5692,25263,250,16977050000
2015-04-19,5.5632,5.5737,5.5608,5.5729,668,1120,750700000
2015-04-20,5.5727,5.5855,5.5184,5.5288,22084,280,14825650000
2015-04-21,5.529,5.5557,5.5167,5.5374,24671,260,16005530000
2015-04-22,5.5351,5.6153,5.527,5.5884,24452,290,15157040000
2015-04-23,5.5886,5.6171,5.5543,5.5615,29145,310,18925380000
2015-04-24,5.5615,5.6506,5.5532,5.6314,23892,330,16365700000
