date_time,open,high,low,close,volume,spread,real_volume
2021-11-19,16122.42,16194.42,16108.42,16136.17,18384,413,0
2021-11-22,16148.67,16196.92,16051.92,16064.77,39336,413,0
2021-11-23,16079.27,16088.42,15858.42,15991.12,61384,413,0
2021-11-24,15985.52,16021.42,15733.42,15898.92,55669,413,0
2021-11-25,15902.52,15959.42,15856.42,15918.42,21538,413,0
2021-11-26,15921.97,15921.97,15020.42,15111.92,94739,413,0
2021-11-29,15139.02,15456.92,15139.02,15313.42,78799,413,0
2021-11-30,15340.17,15419.92,14906.42,15105.27,97793,413,0
2021-12-01,15174.27,15502.92,15102.42,15155.02,78361,413,0
2021-12-02,15178.32,15391.42,15163.42,15329.32,81326,413,0
2021-12-03,15362.17,15431.42,15078.42,15180.62,88984,413,0
2021-12-06,15164.57,15415.42,15141.92,15397.82,67938,413,0
2021-12-07,15415.37,15840.42,15364.92,15799.47,43970,413,0
2021-12-08,15859.92,15861.12,15674.42,15706.72,50987,413,0
2021-12-09,15709.57,15750.92,15583.97,15607.67,44399,413,0
2021-12-10,15609.92,15686.42,15523.92,15647.02,43289,413,0
2021-12-13,15648.97,15792.42,15583.42,15616.77,49915,413,0
2021-12-14,15620.97,15694.92,15424.42,15522.27,58959,413,0
2021-12-15,15521.37,15653.42,15446.92,15634.72,53430,413,0
2021-12-16,15632.32,15777.92,15523.92,15592.82,55336,413,0
2021-12-17,15575.97,15595.92,15404.42,15473.92,75656,413,0
2021-12-20,15448.12,15497.92,15044.92,15342.12,84290,413,0
2021-12-21,15342.42,15507.22,15286.42,15503.47,53328,413,0
2021-12-22,15504.07,15624.87,15406.42,15623.02,41026,413,0
2021-12-23,15624.97,15762.42,15584.92,15722.17,29005,413,0
2021-12-27,15724.92,15886.07,15650.42,15870.62,25567,413,0
2021-12-28,15869.72,15963.42,15815.42,15924.12,31428,413,0
2021-12-29,15926.97,15955.92,15785.42,15843.02,33344,413,0
2021-12-30,15847.22,15914.42,15800.92,15840.92,27479,413,0
2022-01-03,15872.92,16055.42,15838.92,16041.57,44538,413,0
2022-01-04,16043.52,16187.42,15992.42,16134.07,48416,413,0
2022-01-05,16133.77,16272.42,16061.42,16079.62,53519,413,0
2022-01-06,16082.02,16141.42,15949.92,16025.22,81261,413,0
2022-01-07,16032.12,16065.92,15846.42,15937.52,66153,413,0
