date_time,open,high,low,close,volume,spread,real_volume
2017-03-22,505.1,508.2,504.5,507.5,2070,0,0
2017-03-23,508.0,510.6,505.7,508.9,3212,0,0
2017-03-24,509.9,510.3,507.0,508.5,2736,0,0
2017-03-27,505.5,508.3,504.3,508.1,2769,0,0
2017-03-28,509.0,512.0,506.9,511.6,2142,0,0
2017-03-29,511.4,512.9,509.7,511.6,2041,0,0
2017-03-30,511.3,514.1,511.1,513.9,1591,0,0
2017-03-31,512.5,515.3,511.8,515.05,1777,0,0
2017-04-03,514.95,516.85,509.8,513.15,12249,0,0
2017-04-04,512.18,513.75,510.48,513.7,4435,0,0
2017-04-05,513.52,515.72,511.15,511.15,4731,0,0
2017-04-06,510.28,514.92,509.12,514.38,5676,0,0
2017-04-07,512.95,518.6,512.5,518.12,5523,0,0
2017-04-10,518.02,519.28,515.38,517.22,3743,0,0
2017-04-11,516.78,518.78,514.02,518.3,5649,0,0
2017-04-12,518.1,519.98,514.98,514.98,5211,0,0
2017-04-13,515.55,515.62,512.58,513.45,4748,0,0
2017-04-18,515.52,515.52,507.08,508.6,5743,0,0
2017-04-19,509.78,513.82,508.32,508.6,4559,0,0
2017-04-20,509.48,513.4,508.55,512.22,5287,0,0
2017-04-21,512.55,513.1,509.65,512.7,2952,0,0
2017-04-24,514.52,519.25,514.35,519.15,6269,0,0
2017-04-25,518.7,520.7,517.52,518.42,3748,0,0
2017-04-26,519.18,519.18,516.55,516.55,3598,0,0
2017-04-27,516.78,517.75,515.62,516.6,5938,0,0
2017-04-28,516.28,517.25,515.02,515.92,3178,0,0
2017-05-02,516.45,521.32,516.4,520.68,2728,0,0
2017-05-03,520.02,521.3,518.82,521.02,2851,0,0
2017-05-04,520.92,524.4,520.92,524.35,4151,0,0
2017-05-05,523.2,530.72,522.3,530.65,4369,0,0
2017-05-08,531.12,531.58,527.48,530.48,4394,0,0
2017-05-09,530.45,533.58,530.45,531.75,3366,0,0
