date_time,open,high,low,close,volume,spread,real_volume
2024-04-19 11:00:00,91.06,91.06,90.909,90.922,1930,28,0
2024-04-19 11:15:00,90.922,90.962,90.905,90.939,1685,31,0
2024-04-19 11:30:00,90.938,90.958,90.895,90.904,1554,31,0
2024-04-19 11:45:00,90.903,90.956,90.894,90.944,1413,29,0
2024-04-19 12:00:00,90.943,91.016,90.936,90.991,1285,29,0
2024-04-19 12:15:00,90.99,91.078,90.973,91.064,1317,30,0
2024-04-19 12:30:00,91.065,91.089,91.037,91.047,1169,31,0
2024-04-19 12:45:00,91.048,91.096,91.033,91.037,1026,31,0
2024-04-19 13:00:00,91.036,91.036,90.962,90.968,1424,29,0
2024-04-19 13:15:00,90.969,90.971,90.902,90.963,1242,29,0
2024-04-19 13:30:00,90.962,91.015,90.904,90.912,1184,30,0
2024-04-19 13:45:00,90.911,90.95,90.911,90.938,1148,27,0
2024-04-19 14:00:00,90.937,90.948,90.907,90.917,1328,29,0
2024-04-19 14:15:00,90.915,90.977,90.914,90.953,1361,27,0
2024-04-19 14:30:00,90.952,90.977,90.914,90.969,1455,29,0
2024-04-19 14:45:00,90.965,90.973,90.94,90.973,1089,30,0
2024-04-19 15:00:00,90.972,91.011,90.93,91.006,1518,28,0
2024-04-19 15:15:00,91.01,91.077,90.991,91.07,1784,29,0
2024-04-19 15:30:00,91.07,91.168,91.066,91.15,1673,30,0
2024-04-19 15:45:00,91.15,91.163,91.045,91.073,1611,30,0
2024-04-19 16:00:00,91.072,91.116,91.058,91.079,1708,29,0
2024-04-19 16:15:00,91.078,91.146,91.053,91.134,2031,30,0
2024-04-19 16:30:00,91.133,91.193,91.1,91.173,2686,28,0
2024-04-19 16:45:00,91.172,91.187,91.094,91.106,2023,28,0
2024-04-19 17:00:00,91.106,91.182,91.079,91.128,2324,27,0
2024-04-19 17:15:00,91.129,91.182,91.077,91.181,2487,28,0
2024-04-19 17:30:00,91.182,91.228,91.121,91.183,2129,30,0
2024-04-19 17:45:00,91.182,91.228,91.133,91.15,2278,30,0
2024-04-19 18:00:00,91.149,91.189,91.131,91.162,1582,30,0
2024-04-19 18:15:00,91.163,91.191,91.053,91.103,1823,29,0
2024-04-19 18:30:00,91.103,91.123,91.066,91.096,1478,31,0
2024-04-19 18:45:00,91.095,91.125,91.046,91.066,1367,32,0
2024-04-19 19:00:00,91.067,91.11,90.978,90.981,1700,29,0
2024-04-19 19:15:00,90.983,90.987,90.924,90.927,1455,31,0
