date_time,open,high,low,close,volume,spread,real_volume
2007-02-12 08:00:00,83.47,83.49,83.36,83.48,341,80,0
2007-02-12 12:00:00,83.47,83.47,83.16,83.38,1387,80,0
2007-02-12 16:00:00,83.37,83.48,83.27,83.39,654,80,0
2007-02-12 20:00:00,83.37,83.46,83.1,83.19,615,80,0
2007-02-13 00:00:00,83.18,83.18,82.86,82.96,1146,80,0
2007-02-13 04:00:00,82.98,83.21,82.94,83.19,989,80,0
2007-02-13 08:00:00,83.18,83.29,83.06,83.24,1205,80,0
2007-02-13 12:00:00,83.23,83.57,83.17,83.46,1630,80,0
2007-02-13 16:00:00,83.47,83.59,83.42,83.52,721,80,0
2007-02-13 20:00:00,83.53,83.69,83.38,83.6,621,80,0
2007-02-14 00:00:00,83.61,83.71,83.45,83.71,988,80,0
2007-02-14 04:00:00,83.72,83.86,83.61,83.79,1133,80,0
2007-02-14 08:00:00,83.81,83.84,83.4,83.48,2048,80,0
2007-02-14 12:00:00,83.49,83.9,83.48,83.83,1799,80,0
2007-02-14 16:00:00,83.85,83.91,83.72,83.78,1019,80,0
2007-02-14 20:00:00,83.79,83.94,83.18,83.33,813,80,0
2007-02-15 00:00:00,83.34,83.37,82.99,83.27,1635,80,0
2007-02-15 04:00:00,83.28,83.43,83.17,83.28,1206,80,0
2007-02-15 08:00:00,83.29,83.65,83.22,83.6,1898,80,0
2007-02-15 12:00:00,83.59,83.61,83.05,83.18,2222,80,0
2007-02-15 16:00:00,83.17,83.19,82.66,82.8,1728,80,0
2007-02-15 20:00:00,82.81,82.87,82.55,82.71,973,80,0
2007-02-16 00:00:00,82.72,83.08,82.7,83.05,1033,80,0
2007-02-16 04:00:00,83.04,83.13,82.88,83.05,1269,80,0
2007-02-16 08:00:00,83.04,83.06,82.8,82.86,1263,80,0
2007-02-16 12:00:00,82.87,83.2,82.82,83.02,2087,80,0
2007-02-16 16:00:00,83.01,83.23,82.97,83.17,585,80,0
2007-02-16 20:00:00,83.16,83.28,83.15,83.25,297,80,0
2007-02-19 00:00:00,83.53,83.92,83.52,83.81,1106,80,0
2007-02-19 04:00:00,83.8,83.85,83.64,83.72,1186,80,0
2007-02-19 08:00:00,83.74,83.81,83.54,83.64,1053,80,0
2007-02-19 12:00:00,83.65,83.9,83.52,83.9,788,80,0
2007-02-19 16:00:00,83.91,83.99,83.75,83.87,578,80,0
2007-02-19 20:00:00,83.86,83.96,83.71,83.8,425,80,0
2007-02-20 00:00:00,83.79,83.96,83.72,83.85,814,80,0
2007-02-20 04:00:00,83.84,84.08,83.78,84.0,1182,80,0
2007-02-20 08:00:00,84.01,84.32,83.9,84.32,1440,80,0
2007-02-20 12:00:00,84.31,84.31,84.1,84.21,1030,80,0
2007-02-20 16:00:00,84.2,84.22,84.04,84.09,750,80,0
2007-02-20 20:00:00,84.11,84.25,84.09,84.18,580,80,0
2007-02-21 00:00:00,84.19,84.48,83.72,83.86,1651,80,0
2007-02-21 04:00:00,83.89,84.76,83.73,84.73,2203,80,0
2007-02-21 08:00:00,84.72,85.14,84.66,85.0,1800,80,0
2007-02-21 12:00:00,84.99,85.39,84.98,85.33,1735,80,0
2007-02-21 16:00:00,85.32,85.47,85.27,85.34,907,80,0
2007-02-21 20:00:00,85.33,85.44,85.28,85.37,746,80,0
2007-02-22 00:00:00,85.36,85.46,85.23,85.36,971,80,0
2007-02-22 04:00:00,85.35,85.53,85.24,85.37,1276,80,0
2007-02-22 08:00:00,85.36,85.58,85.08,85.56,1631,80,0
2007-02-22 12:00:00,85.57,85.75,85.43,85.63,1147,80,0
2007-02-22 16:00:00,85.64,85.77,85.5,85.66,910,80,0
2007-02-22 20:00:00,85.68,85.74,85.52,85.54,620,80,0
2007-02-23 00:00:00,85.56,85.61,85.3,85.56,1005,80,0
2007-02-23 04:00:00,85.54,85.6,85.4,85.51,962,80,0
2007-02-23 08:00:00,85.5,85.72,85.36,85.6,1263,80,0
2007-02-23 12:00:00,85.62,85.68,85.37,85.43,1766,80,0
2007-02-23 16:00:00,85.41,85.59,85.36,85.41,851,80,0
2007-02-23 20:00:00,85.4,85.47,85.39,85.46,168,80,0
2007-02-26 00:00:00,85.72,85.75,85.59,85.64,906,80,0
2007-02-26 04:00:00,85.63,85.76,85.58,85.59,823,80,0
2007-02-26 08:00:00,85.58,85.61,85.17,85.41,1342,80,0
2007-02-26 12:00:00,85.4,85.71,85.27,85.65,1455,80,0
2007-02-26 16:00:00,85.63,85.74,85.51,85.67,726,80,0
2007-02-26 20:00:00,85.66,85.8,85.53,85.68,504,80,0
2007-02-27 00:00:00,85.67,85.76,85.36,85.5,994,80,0
2007-02-27 04:00:00,85.51,85.54,84.62,84.66,1441,80,0
2007-02-27 08:00:00,84.64,84.7,84.11,84.13,1965,80,0
2007-02-27 12:00:00,84.14,84.18,83.48,83.65,2461,80,0
2007-02-27 16:00:00,83.64,83.7,82.77,82.81,1535,80,0
2007-02-27 20:00:00,82.8,82.8,82.01,82.33,2121,80,0
2007-02-28 00:00:00,82.32,83.2,82.31,82.98,1836,80,0
2007-02-28 04:00:00,82.97,83.27,82.5,83.13,2047,80,0
2007-02-28 08:00:00,83.12,83.16,82.61,82.87,2219,80,0
2007-02-28 12:00:00,82.88,83.19,82.48,82.98,2487,80,0
2007-02-28 16:00:00,82.99,83.25,82.75,82.94,1351,80,0
2007-02-28 20:00:00,82.95,83.25,82.89,83.19,995,80,0
2007-03-01 00:00:00,83.2,83.35,82.79,82.84,1586,80,0
2007-03-01 04:00:00,82.82,82.86,82.52,82.66,1763,80,0
2007-03-01 08:00:00,82.67,83.2,82.3,82.32,2402,80,0
2007-03-01 12:00:00,82.33,82.41,80.94,81.53,3901,80,0
2007-03-01 16:00:00,81.52,81.7,81.27,81.48,1583,80,0
2007-03-01 20:00:00,81.5,81.73,81.33,81.65,1040,80,0
2007-03-02 00:00:00,81.64,81.75,81.35,81.56,1356,80,0
2007-03-02 04:00:00,81.55,81.62,81.19,81.31,1253,80,0
2007-03-02 08:00:00,81.3,81.33,80.2,80.22,2545,80,0
2007-03-02 12:00:00,80.21,80.63,80.08,80.43,3128,80,0
2007-03-02 16:00:00,80.44,80.63,80.17,80.36,1705,80,0
2007-03-02 20:00:00,80.37,80.37,80.15,80.35,439,80,0
2007-03-05 00:00:00,79.43,79.45,78.78,78.99,2368,80,0
2007-03-05 04:00:00,78.98,79.06,78.15,78.28,2713,80,0
2007-03-05 08:00:00,78.27,78.62,77.92,78.11,3069,80,0
2007-03-05 12:00:00,78.12,78.76,77.8,78.33,3573,80,0
