date_time,open,high,low,close,volume,spread,real_volume
2015-11-17,6.39601,6.40979,6.39532,6.40924,15077,22,22574834000
2015-11-18,6.41169,6.41973,6.40189,6.41649,24651,0,26550149000
2015-11-19,6.41627,6.41727,6.40189,6.40189,23254,0,20970448000
2015-11-20,6.40359,6.421,6.40299,6.41931,23555,0,18111362000
2015-11-23,6.41183,6.43498,6.41183,6.42645,17973,0,15115190000
2015-11-24,6.42617,6.43271,6.42197,6.42622,13952,5,10465084000
2015-11-25,6.42625,6.42823,6.41452,6.42186,21003,5,15819444000
2015-11-26,6.42189,6.43906,6.41899,6.43341,13249,2,9081260000
2015-11-27,6.43331,6.45794,6.43231,6.44756,18351,0,14338046000
2015-11-30,6.44853,6.46079,6.41571,6.42395,35717,0,28295934000
2015-12-01,6.42359,6.4499,6.42359,6.44569,25034,0,11286996000
2015-12-02,6.44409,6.45021,6.43614,6.446,32154,212,0
2015-12-03,6.44797,6.45429,6.41931,6.42069,23639,245,0
2015-12-04,6.42072,6.45079,6.42041,6.44372,17972,245,0
2015-12-07,6.44427,6.47419,6.44221,6.47067,20593,0,0
2015-12-08,6.47232,6.49855,6.47078,6.48677,29376,245,0
2015-12-09,6.48652,6.52227,6.48528,6.50152,26694,245,0
2015-12-10,6.50382,6.54304,6.48759,6.49737,37180,245,0
2015-12-11,6.49727,6.56139,6.49687,6.53057,29515,245,0
2015-12-14,6.53397,6.5595,6.53211,6.55415,20088,245,0
2015-12-15,6.55212,6.5534,6.5264,6.53829,18389,60,5885000000
2015-12-16,6.53852,6.54412,6.51372,6.52245,17367,0,8206500000
2015-12-17,6.52367,6.5707,6.52301,6.56637,15939,0,7322000000
2015-12-18,6.56612,6.57328,6.5505,6.55172,12781,0,5660000000
2015-12-21,6.55377,6.55733,6.5462,6.54903,10526,0,4585500000
2015-12-22,6.5515,6.55187,6.5246,6.52507,11062,0,4678500000
2015-12-23,6.5315,6.54836,6.52577,6.54361,9559,0,4082500000
2015-12-24,6.545,6.5477,6.52995,6.54001,7402,0,3290500000
