date_time,open,high,low,close,volume,spread,real_volume
2015-01-02,22.898,23.069,22.898,23.034,3980,500,0
2015-01-04,23.14,23.286,23.14,23.169,820,500,0
2015-01-05,23.168,23.251,23.099,23.184,5090,500,0
2015-01-06,23.185,23.313,23.111,23.273,6175,500,0
2015-01-07,23.274,23.588,23.243,23.517,6998,500,0
2015-01-08,23.518,23.687,23.488,23.628,5260,500,0
2015-01-09,23.629,23.929,23.572,23.737,7188,500,0
2015-01-11,23.701,23.706,23.653,23.667,176,500,0
2015-01-12,23.668,24.116,23.666,23.913,8322,500,0
2015-01-13,23.912,24.174,23.771,23.851,8265,500,0
2015-01-14,23.853,24.078,23.74,23.763,9668,500,0
2015-01-15,23.762,24.179,23.696,23.948,17864,500,0
2015-01-16,23.947,24.287,23.834,24.089,11773,500,0
2015-01-18,24.038,24.115,24.038,24.095,187,500,0
2015-01-19,24.096,24.126,23.941,24.059,6926,500,0
2015-01-20,24.058,24.214,23.947,24.111,7228,500,0
2015-01-21,24.112,24.177,23.945,24.056,10123,500,0
2015-01-22,24.057,24.636,23.914,24.467,13914,500,0
2015-01-23,24.466,24.991,24.461,24.704,14791,500,0
2015-01-25,24.803,24.871,24.803,24.856,371,500,0
2015-01-26,24.855,24.924,24.549,24.676,11388,500,0
2015-01-27,24.675,24.705,24.386,24.521,11594,500,0
2015-01-28,24.52,24.607,24.376,24.578,10100,500,0
2015-01-29,24.577,24.612,24.45,24.472,7752,500,0
2015-01-30,24.473,24.592,24.44,24.565,9324,500,0
2015-02-01,24.494,24.52,24.469,24.504,179,500,0
2015-02-02,24.505,24.549,24.402,24.479,6203,500,0
2015-02-03,24.48,24.54,24.051,24.207,9331,500,0
2015-02-04,24.206,24.491,24.161,24.456,8089,500,0
2015-02-05,24.453,24.518,24.096,24.139,9483,500,0
2015-02-06,24.138,24.467,24.129,24.435,8054,500,0
2015-02-08,24.462,24.492,24.462,24.463,121,500,0
2015-02-09,24.462,24.572,24.306,24.447,6078,500,0
2015-02-10,24.448,24.577,24.396,24.418,7362,500,0
2015-02-11,24.419,24.519,24.328,24.363,7429,500,0
2015-02-12,24.364,24.431,24.188,24.231,8823,500,0
2015-02-13,24.23,24.266,24.127,24.218,6080,500,0
2015-02-15,24.178,24.231,24.178,24.204,436,500,0
2015-02-16,24.205,24.402,24.148,24.346,5954,500,0
2015-02-17,24.345,24.395,24.109,24.157,6745,500,0
2015-02-18,24.158,24.253,23.816,23.883,8033,500,0
2015-02-19,23.884,24.087,23.817,24.059,7107,500,0
2015-02-20,24.06,24.376,24.041,24.167,10169,500,0
2015-02-22,24.131,24.165,24.131,24.163,113,500,0
2015-02-23,24.162,24.352,24.101,24.18,5789,500,0
2015-02-24,24.181,24.293,24.152,24.195,6109,500,0
2015-02-25,24.194,24.2,24.069,24.1,5111,500,0
2015-02-26,24.101,24.602,24.059,24.57,6714,500,0
2015-02-27,24.571,24.588,24.38,24.547,6579,500,0
2015-03-01,24.553,24.585,24.547,24.577,106,500,0
2015-03-02,24.578,24.625,24.427,24.581,4726,500,0
2015-03-03,24.58,24.588,24.462,24.538,4630,500,0
2015-03-04,24.537,24.815,24.529,24.769,5383,500,0
2015-03-05,24.77,24.892,24.646,24.709,7867,500,0
2015-03-06,24.71,25.195,24.704,25.187,8765,500,0
2015-03-09,25.206,25.223,24.971,25.115,4030,500,0
2015-03-10,25.116,25.548,25.105,25.513,6708,500,0
2015-03-11,25.512,25.925,25.428,25.819,8858,500,0
