date_time,open,high,low,close,volume,spread,real_volume
2015-01-01,260.35,260.57,260.31,260.53,604,1330,0
2015-01-02,260.5,265.89,260.36,264.52,41167,120,0
2015-01-04,265.22,266.81,265.11,265.9,3040,750,0
2015-01-05,265.9,268.26,265.34,265.75,33951,120,0
2015-01-06,265.72,269.56,264.88,268.83,36249,120,0
2015-01-07,268.8,270.63,268.14,268.43,40484,120,0
2015-01-08,268.43,270.09,267.02,267.75,33642,120,0
2015-01-09,267.77,269.29,266.9,266.95,28448,120,0
2015-01-11,266.83,266.92,266.43,266.49,844,830,0
2015-01-12,266.53,270.2,266.51,268.13,38951,120,0
2015-01-13,268.13,271.3,267.47,270.11,39827,120,0
2015-01-14,270.06,272.96,269.69,270.88,44220,120,0
2015-01-15,270.88,279.77,270.61,277.31,51489,120,0
2015-01-16,277.28,278.7,274.75,274.75,46972,120,0
2015-01-18,275.66,275.68,275.01,275.17,556,1210,0
2015-01-19,275.32,276.97,273.56,275.54,34218,120,0
2015-01-20,275.54,276.76,273.16,273.2,34199,120,0
2015-01-21,273.17,273.85,269.14,271.06,40655,120,0
2015-01-22,270.87,276.02,269.98,274.59,57424,120,0
2015-01-23,274.59,278.93,274.41,276.05,51931,120,0
2015-01-25,277.32,277.8,277.12,277.55,673,720,0
2015-01-26,277.65,279.07,275.31,276.49,35825,120,0
2015-01-27,276.49,277.78,272.89,273.43,46154,120,0
2015-01-28,273.46,277.04,273.12,276.8,43815,120,0
2015-01-29,276.67,277.55,273.16,274.2,45458,120,0
2015-01-30,274.06,276.24,273.38,274.39,41006,120,0
2015-02-01,273.97,274.4,273.8,274.18,413,1500,0
2015-02-02,274.49,275.14,273.52,273.86,31922,120,0
2015-02-03,273.89,274.4,267.51,269.0,44872,120,0
2015-02-04,269.0,272.52,268.6,271.97,32385,120,0
2015-02-05,271.78,272.81,266.04,267.16,37751,120,0
2015-02-06,267.15,270.46,266.53,269.93,34370,120,0
2015-02-08,270.28,270.33,269.9,270.07,610,730,0
2015-02-09,270.21,273.26,269.13,271.53,34425,120,0
2015-02-10,271.52,275.38,271.14,272.6,38211,120,0
2015-02-11,272.57,275.0,272.07,272.56,36025,120,0
2015-02-12,272.46,273.59,267.71,268.06,39892,120,0
2015-02-13,267.96,269.14,267.1,268.39,27944,120,0
2015-02-15,268.02,268.37,267.9,268.25,249,790,0
2015-02-16,268.25,271.25,267.61,270.08,18534,120,0
2015-02-17,270.0,271.23,268.68,269.59,28473,120,0
2015-02-18,269.52,271.06,267.89,268.21,30216,120,0
2015-02-19,268.21,269.22,266.84,268.79,28984,120,0
2015-02-20,268.79,271.52,267.18,267.68,39329,120,0
2015-02-22,267.37,268.09,267.36,268.01,299,800,0
2015-02-23,268.19,270.44,267.83,269.31,23359,120,0
2015-02-24,269.31,270.82,268.64,269.02,27762,120,0
2015-02-25,268.95,269.44,267.78,267.97,26074,120,0
2015-02-26,267.97,270.67,266.49,270.26,40666,110,0
2015-02-27,270.26,271.18,269.35,269.99,35719,120,0
2015-03-01,270.49,270.87,270.36,270.65,412,500,0
2015-03-02,270.88,272.58,269.95,272.46,20097,120,0
2015-03-03,272.45,274.32,271.37,273.97,28957,120,0
2015-03-04,274.0,277.5,273.83,276.28,42911,120,0
2015-03-05,276.3,277.81,274.76,276.49,38462,120,0
2015-03-06,276.52,282.05,275.49,281.34,38911,120,0
2015-03-08,281.4,281.71,281.19,281.2,1088,900,0
2015-03-09,281.16,281.83,279.14,281.25,21625,100,3607250000
2015-03-10,281.3,287.99,281.24,287.46,29049,50,11218750000
2015-03-11,287.46,289.42,286.17,287.45,39088,50,20843500000
2015-03-12,287.44,288.94,284.28,285.97,52622,10,46109050000
2015-03-13,285.97,292.16,285.77,290.73,37028,30,29699150000
2015-03-15,291.44,291.56,290.98,291.17,506,540,213150000
2015-03-16,291.16,291.91,285.55,286.81,59999,60,46629450000
2015-03-17,286.81,287.44,285.61,286.72,33509,10,27499300000
2015-03-18,286.71,287.61,274.72,279.88,48553,20,39640000000
2015-03-19,279.87,286.19,278.44,284.3,56729,30,41026850000
2015-03-20,284.3,284.6,278.75,279.41,42362,40,29444150000
2015-03-22,278.72,279.78,278.69,279.64,1205,390,946700000
2015-03-23,279.63,282.43,276.5,276.79,47967,30,29243300000
2015-03-24,276.78,278.19,273.19,273.69,45541,20,39670900000
2015-03-25,273.68,274.42,271.05,272.59,38654,20,26938200000
2015-03-26,272.59,276.12,270.26,275.54,40259,30,36742750000
2015-03-27,275.54,278.66,274.15,274.84,36147,30,26156650000
2015-03-29,275.23,275.59,275.23,275.4,196,360,184500000
2015-03-30,275.4,277.28,275.24,276.33,33454,40,20275250000
2015-03-31,276.33,280.3,275.86,279.15,37511,20,29747200000
2015-04-01,279.16,279.74,275.71,277.27,34930,20,24500950000
2015-04-02,277.29,278.14,274.59,275.35,31442,40,20116550000
2015-04-03,275.35,275.96,270.89,271.78,18911,10,13380800000
2015-04-05,271.53,271.85,271.26,271.71,456,120,217250000
2015-04-06,271.69,274.15,270.45,273.33,15454,100,12396050000
2015-04-07,273.37,276.31,272.88,275.83,28120,20,23928450000
2015-04-08,275.83,275.84,272.42,274.95,44319,20,27891800000
2015-04-09,274.95,280.6,274.79,279.61,32459,20,27989550000
2015-04-10,279.62,281.54,278.6,279.21,31120,10,26227180000
2015-04-12,280.06,280.06,279.43,279.91,222,480,234150000
2015-04-13,279.99,282.49,279.27,280.5,30158,10,31845750000
2015-04-14,280.5,281.54,276.72,278.23,30907,20,25075200000
2015-04-15,278.23,283.33,278.2,281.05,30929,20,29123050000
2015-04-16,281.04,282.64,278.68,280.24,41265,40,34591350000
2015-04-17,280.28,280.83,277.3,278.27,38637,20,35549200000
2015-04-19,277.57,277.94,277.45,277.86,633,730,223250000
2015-04-20,277.86,280.37,277.22,277.5,50677,60,43549600000
2015-04-21,277.49,279.49,277.0,278.15,39923,20,34220350000
2015-04-22,278.15,281.62,276.88,280.12,45958,30,40580250000
2015-04-23,280.12,282.67,276.45,277.06,30869,10,28034000000
2015-04-24,277.06,280.44,275.49,278.01,33073,20,34037000000
2015-04-26,278.57,278.69,278.2,278.21,224,1060,57500000
2015-04-27,278.55,280.29,273.55,275.58,32577,10,26895850000
2015-04-28,275.58,277.38,272.77,273.95,33457,10,37891600000
2015-04-29,273.89,275.27,269.74,271.83,38161,10,34556400000
2015-04-30,271.8,273.62,269.2,270.57,41100,30,40872450000
2015-05-01,270.59,272.13,269.15,270.33,29537,70,23035800000
2015-05-03,270.76,271.04,270.46,270.94,829,590,211300000
2015-05-04,270.94,272.67,270.13,271.99,23128,20,15875700000
2015-05-05,272.0,273.58,270.0,271.31,39585,20,29101600000
2015-05-06,271.31,272.03,268.31,269.22,41983,10,43121600000
2015-05-07,269.21,270.73,268.46,269.45,33360,20,32369200000
2015-05-08,269.45,271.47,268.42,268.83,36480,20,29782600000
2015-05-10,269.01,269.9,268.84,269.77,346,580,150400000
2015-05-11,269.77,273.87,269.73,273.34,27145,30,30279600000
2015-05-12,273.17,273.6,273.17,273.38,1203,90,324000000
2015-05-13,273.39,273.77,270.21,271.05,29604,20,28301200000
2015-05-14,271.06,271.36,267.93,268.49,35221,10,36191650000
2015-05-15,268.45,270.99,266.8,266.97,30947,10,34002300000
2015-05-17,267.2,267.35,266.99,267.29,148,750,110250000
2015-05-18,267.26,273.61,267.22,272.82,34489,10,30829100000
2015-05-19,272.82,274.98,272.1,274.3,45081,10,36020700000
2015-05-20,274.3,277.49,274.16,276.52,44753,10,35165900000
2015-05-21,276.5,277.18,274.12,277.02,44494,20,46139150000
2015-05-22,277.04,279.73,274.15,278.0,37122,10,36030850000
2015-05-24,278.84,279.79,278.47,279.61,794,460,419450000
2015-05-25,279.61,281.0,279.01,280.29,16525,60,12444250000
2015-05-26,280.26,284.61,280.24,283.84,38053,40,38442900000
2015-05-27,283.84,285.8,282.19,283.46,43694,30,43438550000
2015-05-28,283.47,284.18,281.71,282.06,48879,30,36103950000
2015-05-29,282.07,283.02,280.71,280.9,44461,10,29014050000
2015-05-31,281.23,281.23,280.86,281.16,255,150,143700000
2015-06-01,281.29,284.34,281.24,282.28,42770,10,31668950000
2015-06-02,282.25,282.58,276.42,279.58,57866,10,40224300000
2015-06-03,279.58,280.95,276.6,277.32,56537,10,42575100000
2015-06-04,277.3,278.18,274.95,277.22,57818,10,41446100000
2015-06-05,277.18,282.56,275.25,279.93,51294,20,38091800000
2015-06-07,280.72,280.92,279.89,280.56,374,150,379500000
2015-06-08,280.56,282.31,277.35,277.78,35314,10,29843450000
2015-06-09,277.85,278.71,276.41,277.23,22069,40,27970000000
2015-06-10,277.23,277.34,274.92,275.64,23661,40,26722100000
2015-06-11,275.62,279.15,275.46,276.26,18122,10,20044800000
2015-06-12,276.22,279.49,275.78,276.29,20109,10,23201500000
2015-06-14,278.56,278.66,277.63,278.63,305,550,360200000
2015-06-15,278.61,279.9,276.48,276.68,17263,80,19943000000
2015-06-16,276.72,278.53,276.3,277.0,17085,50,20303100000
2015-06-17,276.98,278.04,273.96,274.19,16480,70,17555600000
2015-06-18,274.19,275.72,272.01,274.74,18132,60,19194100000
2015-06-19,274.74,276.99,274.05,275.33,12848,20,9707400000
2015-06-21,274.266,275.005,274.266,274.478,162,700,93000000
2015-06-22,274.927,275.467,272.392,273.821,17811,46,16487100000
2015-06-23,273.769,279.028,273.625,277.171,20031,30,16383300000
2015-06-24,277.171,278.451,275.356,277.601,21743,61,15557000000
2015-06-25,277.797,280.388,277.139,278.65,16607,37,13667400000
2015-06-26,278.63,280.47,278.39,278.855,14278,93,13098500000
