date_time,open,high,low,close,volume,spread,real_volume
2014-12-22,56.572,56.626,53.94,55.867,7906,8300,0
2014-12-29,56.261,56.491,56.255,56.439,10,60000,0
2015-01-06,61.267,63.969,61.026,61.441,16072,39400,0
2015-01-08,61.591,62.208,59.009,59.782,28894,1500,0
2015-01-09,60.586,61.813,59.909,60.986,54465,17800,0
2015-01-12,62.538,63.151,61.733,62.675,26948,50000,0
2015-01-13,64.832,66.237,63.959,65.372,31058,50000,0
2015-01-14,65.943,66.54,65.155,65.766,27183,50000,0
2015-01-15,65.108,65.91,63.401,64.556,33816,50000,0
2015-01-16,64.9,65.201,64.757,64.803,21302,50000,0
2015-01-19,64.737,64.78,63.875,64.57,17872,50000,0
2015-01-20,64.71,65.488,64.607,65.229,19377,50000,0
2015-01-21,65.37,65.963,64.76,64.982,20683,50000,0
2015-01-22,65.14,65.338,63.674,64.162,31238,8700,0
2015-01-23,63.135,64.468,62.879,63.645,28995,50000,0
2015-01-26,65.59,66.145,65.011,65.972,27533,12300,0
2015-01-27,67.884,67.9,66.836,66.989,31284,50000,0
2015-01-28,67.086,67.834,66.755,67.441,30269,50000,0
2015-01-29,68.744,69.206,68.309,68.825,31659,50000,0
2015-01-30,68.722,71.59,68.694,70.155,40614,50000,0
2015-02-02,69.714,70.238,67.971,68.488,52187,50000,0
2015-02-03,67.435,67.742,65.385,66.08,42785,50000,0
2015-02-04,65.408,67.803,65.247,67.522,41379,50000,0
2015-02-05,68.457,68.489,65.496,66.444,51690,50000,0
2015-02-06,65.634,67.229,65.368,66.749,37915,50000,0
2015-02-09,65.359,66.107,64.867,65.45,37103,50000,0
2015-02-10,65.208,66.231,65.182,66.065,25682,50000,0
2015-02-11,66.114,66.673,65.516,66.557,13295,50000,0
2015-02-12,65.93,66.283,64.2,65.741,37643,50000,0
2015-02-13,65.049,65.336,62.848,62.867,23745,50000,0
2015-02-16,62.17,63.169,61.722,62.897,17464,50000,0
2015-02-17,62.554,63.117,61.912,62.972,24301,50000,0
2015-02-18,62.088,62.49,60.977,61.064,22655,50000,0
2015-02-19,61.973,62.327,61.473,62.208,18630,50000,0
2015-02-20,61.444,62.05,61.244,61.76,17639,50000,0
2015-02-23,62.953,64.298,62.951,63.07,1820,50000,0
2015-02-24,63.103,63.14,62.431,62.538,28028,50000,0
2015-02-25,62.346,62.463,61.325,62.028,23519,50000,0
2015-02-26,60.345,60.731,59.525,60.671,12138,50000,0
2015-02-27,60.77,61.853,60.625,61.549,20200,50000,0
2015-03-02,62.058,62.161,61.659,61.924,32248,50000,0
2015-03-03,62.081,62.165,61.76,61.871,59996,50000,0
2015-03-04,61.53,62.1,61.301,61.943,52694,50000,0
2015-03-05,61.51,61.677,60.296,60.558,31353,50000,0
2015-03-06,59.644,60.086,59.04,60.074,48206,50000,0
2015-03-09,60.115,60.971,59.875,60.375,1686,2200,598800000
2015-03-10,60.225,62.688,60.101,61.654,27054,1100,32216300000
2015-03-11,60.984,63.034,60.864,62.087,38103,1500,56422300000
2015-03-12,61.04,61.123,60.221,61.12,43184,1000,82210400000
2015-03-13,61.168,61.704,60.604,61.657,43016,1100,77758600000
2015-03-16,62.175,62.719,61.901,62.36,13725,1100,23964600000
2015-03-17,61.645,61.982,61.324,61.659,18508,1300,32364300000
2015-03-18,61.387,61.395,60.837,60.903,25063,1200,47479000000
2015-03-19,60.021,60.242,59.509,59.713,23743,1200,39899800000
2015-03-20,60.026,60.642,59.022,59.022,26553,1100,47074900000
2015-03-23,59.383,59.838,58.565,58.725,30012,1200,56046400000
2015-03-24,58.806,58.806,57.422,57.737,29820,1200,55225600000
2015-03-25,57.17,58.019,56.291,57.537,29377,1300,53985500000
2015-03-26,56.412,57.443,56.194,57.337,33702,1100,55213500000
2015-03-27,57.763,57.849,57.081,57.754,21012,1000,29816800000
2015-03-30,58.24,58.676,57.558,57.783,29716,1100,35618497000
2015-03-31,57.838,58.243,57.314,58.076,29755,1100,41821000000
2015-04-01,58.098,58.482,57.491,57.596,29146,1000,43425600000
2015-04-02,56.992,57.242,56.344,56.609,30801,1000,42169796000
2015-04-03,55.837,57.132,55.837,56.815,11496,1400,11142600000
2015-04-06,56.325,56.61,55.452,55.46,18535,1100,22258400000
2015-04-07,55.514,55.787,54.731,54.947,30904,1100,43232100000
2015-04-08,54.428,54.713,53.399,53.966,19824,1000,19965500000
2015-04-09,53.113,53.228,51.815,52.647,27771,1100,41214800000
2015-04-10,51.365,52.537,50.261,51.907,45077,1000,64793000000
2015-04-13,53.096,53.24,51.825,52.739,40048,1000,62330500000
2015-04-14,51.937,52.218,51.227,51.253,34030,1100,46871000000
2015-04-15,50.297,50.811,50.187,50.528,28743,1100,40374700000
2015-04-16,49.498,50.29,49.404,50.005,38955,1000,60993500000
2015-04-17,50.006,52.578,49.961,52.459,39548,1100,56278400000
2015-04-20,51.553,53.802,51.129,52.983,32789,1000,48537700000
2015-04-21,53.593,54.102,53.081,53.585,25044,1100,31669600000
2015-04-22,53.649,53.889,52.599,52.87,13978,1100,12378200000
2015-04-23,52.215,52.379,50.65,50.865,31986,1000,56767600000
2015-04-24,50.419,51.485,50.036,51.314,45632,1100,83727200000
2015-04-27,50.786,51.998,50.703,51.787,35096,1000,59351900000
2015-04-28,52.155,52.581,51.508,51.584,28082,1100,46160400000
2015-04-29,51.761,51.943,51.035,51.089,34907,1100,64129600000
2015-04-30,51.066,52.196,50.873,51.587,44333,1100,76224300000
2015-05-01,51.526,51.849,51.29,51.844,574,1900,139200000
2015-05-04,51.246,52.251,50.821,52.1,1012,1200,1964300000
2015-05-05,52.175,52.203,50.448,50.528,43757,1000,71413000000
2015-05-06,50.064,50.466,49.667,50.409,38727,1100,66084000000
2015-05-07,50.817,50.887,50.132,50.404,41814,1000,63952300000
2015-05-08,50.468,51.28,50.464,50.938,57183,1000,94317400000
2015-05-11,50.896,51.692,50.199,51.599,1440,1600,2691800000
2015-05-12,51.26,51.341,50.034,50.049,9580,1000,3652000000
2015-05-13,49.848,49.925,48.811,49.2,101558,1000,174857000000
2015-05-14,50.452,50.578,49.613,50.147,77640,1000,141547800000
2015-05-15,49.921,50.194,49.433,49.544,57466,1100,95314000000
2015-05-18,49.206,49.455,48.876,49.013,67653,1100,121136400000
2015-05-19,49.378,49.677,48.925,49.506,46914,1000,83679600000
2015-05-20,49.607,50.185,49.521,49.876,34482,1200,55939000000
2015-05-21,50.112,50.112,49.462,49.874,58275,1100,95171700000
2015-05-22,49.865,50.11,49.654,49.884,42209,1000,64006400000
2015-05-25,49.78,50.045,49.764,49.988,10904,1300,11610800000
