date_time,open,high,low,close,volume,spread,real_volume
1998-04-15,7.7635,7.804,7.746,7.7598,1124,0,0
1998-04-16,7.7801,7.7876,7.7296,7.7311,671,0,0
1998-04-17,7.7259,7.7765,7.706,7.765,1020,0,0
1998-04-20,7.7623,7.7787,7.695,7.6977,1029,0,0
1998-04-21,7.7218,7.7238,7.646,7.6623,962,0,0
1998-04-22,7.666,7.7019,7.6396,7.6675,1232,0,0
1998-04-23,7.669,7.7347,7.645,7.7235,1250,0,0
1998-04-24,7.727,7.7338,7.673,7.6818,765,0,0
1998-04-27,7.7,7.744,7.67,7.7175,1306,0,0
1998-04-28,7.719,7.767,7.7,7.743,1101,0,0
1998-04-29,7.7491,7.7915,7.74,7.762,902,0,0
1998-04-30,7.7565,7.7676,7.711,7.7415,983,0,0
1998-05-01,7.75,7.75,7.65,7.695,1451,0,0
1998-05-04,7.7241,7.7259,7.6693,7.6715,607,0,0
1998-05-05,7.6711,7.6962,7.5956,7.6095,1397,0,0
1998-05-06,7.614,7.6395,7.5555,7.5763,1304,0,0
1998-05-07,7.5821,7.6355,7.551,7.628,1232,0,0
1998-05-08,7.6208,7.6457,7.5907,7.621,1099,0,0
1998-05-11,7.5967,7.6458,7.5789,7.6238,1068,0,0
1998-05-12,7.6256,7.6305,7.583,7.6239,934,0,0
1998-05-13,7.62,7.7003,7.618,7.6665,1182,0,0
1998-05-14,7.66,7.7219,7.6463,7.7083,1030,0,0
1998-05-15,7.6965,7.7636,7.6905,7.734,1088,0,0
1998-05-18,7.7275,7.8093,7.7218,7.7852,1174,0,0
1998-05-19,7.78,7.7969,7.747,7.7595,794,0,0
1998-05-20,7.749,7.7532,7.6965,7.7205,850,0,0
1998-05-21,7.7155,7.719,7.6399,7.664,1068,0,0
1998-05-22,7.6655,7.6978,7.6445,7.6803,919,0,0
1998-05-25,7.6732,7.7283,7.6695,7.7096,813,0,0
1998-05-26,7.6984,7.7625,7.6894,7.7446,1001,0,0
1998-05-27,7.75,7.8542,7.693,7.8383,2342,0,0
1998-05-28,7.8358,7.8445,7.78,7.8245,1178,0,0
1998-05-29,7.8111,7.8769,7.7961,7.8565,1163,0,0
1998-06-01,7.8355,7.8531,7.795,7.8081,889,0,0
1998-06-02,7.8245,7.8362,7.781,7.7941,801,0,0
1998-06-03,7.802,7.802,7.738,7.7455,716,0,0
1998-06-04,7.7399,7.7702,7.716,7.75,984,0,0
1998-06-05,7.7446,7.8322,7.7352,7.8005,1382,0,0
1998-06-08,7.8296,7.8545,7.818,7.8413,614,0,0
1998-06-09,7.842,7.8947,7.806,7.889,1305,0,0
1998-06-10,7.8885,8.0018,7.8885,7.9657,1495,0,0
1998-06-11,7.9725,8.0325,7.928,8.0233,1583,0,0
1998-06-12,8.0171,8.0326,7.968,8.0079,1201,0,0
1998-06-15,8.0031,8.1083,8.0031,8.0872,1264,0,0
1998-06-16,8.09,8.0981,8.013,8.058,1383,0,0
1998-06-17,8.0455,8.052,7.8985,7.9132,1748,0,0
1998-06-18,7.896,7.969,7.861,7.955,1571,0,0
1998-06-19,7.953,7.953,7.8899,7.9335,1068,0,0
1998-06-22,7.9285,7.9758,7.915,7.9385,1117,0,0
1998-06-23,7.935,7.9548,7.882,7.9205,1312,0,0
1998-06-24,7.9185,7.9447,7.881,7.9105,1195,0,0
1998-06-25,7.9083,7.9103,7.858,7.8878,842,0,0
1998-06-26,7.8765,8.0019,7.859,7.9758,1866,0,0
1998-06-29,7.9873,8.012,7.949,7.978,1168,0,0
1998-06-30,7.9857,8.011,7.944,7.9919,1279,0,0
1998-07-01,7.9794,8.0675,7.966,8.0585,1240,0,0
1998-07-02,8.0527,8.1119,8.0419,8.0898,1030,0,0
1998-07-03,8.0608,8.1023,8.033,8.0946,1049,0,0
1998-07-06,8.0901,8.0964,8.026,8.083,1338,0,0
1998-07-07,8.074,8.1107,8.056,8.0772,1063,0,0
1998-07-08,8.072,8.0771,8.037,8.0662,745,0,0
1998-07-09,8.0635,8.1314,8.0549,8.1185,981,0,0
1998-07-10,8.1103,8.143,8.0548,8.061,1272,0,0
1998-07-13,8.088,8.0914,7.9947,8.0329,1384,0,0
1998-07-14,8.0397,8.0769,8.015,8.05,1136,0,0
1998-07-15,8.0534,8.0666,8.003,8.0101,840,0,0
1998-07-16,7.997,8.0092,7.9245,7.933,1055,0,0
1998-07-17,7.9384,7.9509,7.9019,7.9054,651,0,0
1998-07-20,7.9068,7.9125,7.869,7.898,783,0,0
1998-07-21,7.902,7.9701,7.8975,7.959,883,0,0
1998-07-22,7.9611,7.9726,7.927,7.9481,783,0,0
1998-07-23,7.945,7.9779,7.9245,7.9379,998,0,0
1998-07-24,7.945,7.962,7.867,7.893,1381,0,0
1998-07-27,7.8907,7.9186,7.845,7.9164,1216,0,0
1998-07-28,7.9212,7.9221,7.8316,7.862,1219,0,0
1998-07-29,7.8677,7.9449,7.8375,7.9178,1648,0,0
1998-07-30,7.9098,7.9629,7.8905,7.9606,941,0,0
1998-07-31,7.9557,7.9704,7.9143,7.9347,913,0,0
1998-08-03,7.9321,8.0223,7.931,8.0111,1037,0,0
1998-08-04,8.0115,8.0182,7.9355,7.9397,937,0,0
