date_time,open,high,low,close,volume,spread,real_volume
2006-01-10,1.6341,1.635,1.6321,1.6334,382,0,0
2006-01-11,1.6336,1.6375,1.6273,1.6279,1333,0,0
2006-01-12,1.6277,1.6294,1.6209,1.6282,1671,0,0
2006-01-13,1.6284,1.6325,1.6182,1.6266,1796,0,0
2006-01-16,1.6251,1.6356,1.6226,1.6354,880,0,0
2006-01-17,1.6356,1.6364,1.6301,1.6337,1379,0,0
2006-01-18,1.6338,1.6359,1.6262,1.6287,1771,0,0
2006-01-19,1.6285,1.6322,1.6277,1.6294,1017,0,0
2006-01-20,1.6299,1.6342,1.6253,1.6274,1233,0,0
2006-01-23,1.6262,1.6281,1.619,1.6211,1272,0,0
2006-01-24,1.6209,1.6234,1.6194,1.623,1032,0,0
2006-01-25,1.6232,1.6251,1.6167,1.6234,1483,0,0
2006-01-26,1.6238,1.6268,1.6194,1.6264,1463,0,0
2006-01-27,1.6268,1.6277,1.6207,1.6272,1179,0,0
2006-01-30,1.6274,1.6327,1.619,1.6275,484,0,0
2006-01-31,1.6282,1.63,1.6194,1.6224,689,0,0
2006-02-01,1.6226,1.6303,1.6202,1.6297,1025,0,0
2006-02-02,1.6299,1.6354,1.6281,1.6337,1341,0,0
2006-02-03,1.6338,1.6371,1.6315,1.6343,1024,0,0
2006-02-06,1.6342,1.6348,1.6258,1.6291,1053,0,0
2006-02-07,1.6293,1.6331,1.6264,1.6276,1351,0,0
2006-02-08,1.6274,1.6337,1.6264,1.6322,1207,0,0
2006-02-09,1.6329,1.6329,1.6266,1.6304,1281,0,0
2006-02-10,1.6302,1.6317,1.6219,1.6266,1526,0,0
2006-02-13,1.6261,1.6318,1.6249,1.6283,1179,0,0
2006-02-14,1.628,1.6313,1.6264,1.6272,989,0,0
2006-02-15,1.6274,1.6312,1.6249,1.6289,1050,0,0
2006-02-16,1.6287,1.639,1.6287,1.6346,1473,0,0
2006-02-17,1.6344,1.6383,1.6314,1.6323,1514,0,0
2006-02-20,1.6331,1.6331,1.6266,1.6285,855,0,0
2006-02-21,1.6287,1.6326,1.628,1.6299,904,0,0
2006-02-22,1.6309,1.6341,1.628,1.6312,1194,0,0
2006-02-23,1.6308,1.6319,1.6226,1.6251,1871,0,0
2006-02-24,1.6255,1.6266,1.6222,1.6232,1180,0,0
2006-02-27,1.6245,1.627,1.6203,1.6221,991,0,0
2006-02-28,1.622,1.6253,1.6205,1.6222,915,0,0
2006-03-01,1.6219,1.6222,1.6167,1.6174,1370,0,0
2006-03-02,1.6175,1.6201,1.6129,1.6134,1020,0,0
2006-03-03,1.6137,1.6214,1.6125,1.6186,1315,0,0
2006-03-06,1.6188,1.6287,1.6165,1.627,1464,0,0
2006-03-07,1.6274,1.6335,1.6258,1.631,1388,0,0
2006-03-08,1.6312,1.635,1.6274,1.6306,1484,0,0
2006-03-09,1.6308,1.6339,1.6249,1.6295,1667,0,0
2006-03-10,1.6296,1.6312,1.6257,1.6275,1221,0,0
2006-03-13,1.6284,1.6285,1.6238,1.6245,736,0,0
2006-03-14,1.6243,1.627,1.6213,1.6226,970,0,0
2006-03-15,1.6224,1.6234,1.6176,1.6182,967,0,0
2006-03-16,1.6184,1.6215,1.6169,1.6171,1430,0,0
2006-03-17,1.6169,1.6199,1.6153,1.6157,875,0,0
2006-03-20,1.6171,1.6181,1.6123,1.6148,965,0,0
2006-03-21,1.615,1.6195,1.6138,1.6171,1129,0,0
2006-03-23,1.6174,1.6203,1.6152,1.6201,984,0,0
2006-03-24,1.6203,1.6228,1.6188,1.6199,1155,0,0
2006-03-27,1.6202,1.6203,1.6142,1.6186,1300,0,0
2006-03-28,1.6184,1.6226,1.6163,1.6224,911,0,0
2006-03-29,1.6225,1.6237,1.6203,1.6222,1308,0,0
2006-03-30,1.6219,1.6222,1.6171,1.6182,1002,0,0
2006-03-31,1.6178,1.6202,1.6154,1.6156,1191,0,0
2006-04-03,1.6169,1.6184,1.615,1.6158,907,0,0
2006-04-04,1.6167,1.6167,1.607,1.6092,1113,0,0
2006-04-05,1.6094,1.6102,1.6016,1.6062,1387,0,0
2006-04-06,1.6064,1.6089,1.6033,1.6066,1103,0,0
2006-04-07,1.6072,1.6079,1.6022,1.6067,1123,0,0
2006-04-10,1.6064,1.6085,1.6033,1.6076,960,0,0
2006-04-11,1.6072,1.616,1.6066,1.6131,1306,0,0
2006-04-12,1.6129,1.6165,1.6083,1.6123,1718,0,0
2006-04-13,1.6122,1.6136,1.6066,1.6082,1102,0,0
2006-04-14,1.6069,1.6093,1.6069,1.6083,271,0,0
2006-04-17,1.6082,1.6087,1.6003,1.6014,945,0,0
2006-04-18,1.6013,1.6037,1.5896,1.5999,1126,0,0
2006-04-19,1.5993,1.6003,1.5954,1.5972,1178,0,0
2006-04-20,1.5978,1.6005,1.596,1.5973,1092,0,0
2006-04-21,1.5976,1.5995,1.5944,1.5948,921,0,0
2006-04-24,1.5902,1.5917,1.5849,1.5866,1265,0,0
2006-04-25,1.5862,1.5897,1.5859,1.5877,945,0,0
2006-04-26,1.5876,1.5923,1.5854,1.5887,1269,0,0
2006-04-27,1.5881,1.5887,1.5824,1.5835,1058,0,0
2006-04-28,1.583,1.585,1.5801,1.5807,1254,0,0
