date_time,open,high,low,close,volume,spread,real_volume
2020-01-24,30.539,30.539,30.484,30.499,1113617,90,0
2020-01-27,30.559,30.708,30.559,30.708,3308420,1,0
2020-01-28,30.635,30.899,30.633,30.802,2834,0,0
2020-01-29,30.802,31.039,30.747,30.956,3084,19,0
2020-01-30,30.942,31.275,30.942,31.072,5020,19,0
2020-01-31,31.072,31.241,31.048,31.162,3853,19,0
2020-02-03,31.153,31.261,30.969,31.041,4300,19,0
2020-02-04,31.043,31.136,30.888,30.959,3641,19,0
2020-02-05,30.94,31.247,30.89,30.942,6094,19,0
2020-02-06,30.942,31.177,30.942,31.153,4972,19,0
2020-02-07,31.152,31.374,31.086,31.282,4700,19,0
2020-02-10,31.262,31.377,31.214,31.292,4077,19,0
2020-02-11,31.297,31.303,31.141,31.212,3850,19,0
2020-02-12,31.212,31.227,31.043,31.072,3601,19,0
2020-02-13,31.077,31.209,31.056,31.114,3274,19,0
2020-02-14,31.109,31.219,31.088,31.154,2422,19,0
2020-02-17,31.178,31.226,31.112,31.145,2797,19,0
2020-02-18,31.148,31.255,31.105,31.183,3012,19,0
2020-02-19,31.179,31.216,31.133,31.187,1917,19,0
2020-02-20,31.197,31.485,31.152,31.41,4480,19,0
2020-02-21,31.413,31.693,31.397,31.527,4576,19,0
2020-02-24,31.636,31.759,31.604,31.634,4289,19,0
2020-02-25,31.637,31.743,31.543,31.712,3661,19,0
2020-02-26,31.687,31.914,31.687,31.812,3898,19,0
2020-02-27,31.792,31.85,31.536,31.638,4295,19,0
2020-02-28,31.642,31.678,31.435,31.457,5507,19,0
2020-03-02,31.452,31.575,31.265,31.442,3460,19,0
2020-03-03,31.437,31.642,31.281,31.379,4427,19,0
2020-03-04,31.382,31.434,31.25,31.327,3901,19,0
2020-03-05,31.312,31.616,31.288,31.552,4071,19,0
2020-03-06,31.532,31.664,31.352,31.41,4708,19,0
2020-03-09,31.384,31.616,31.342,31.439,5269,19,0
2020-03-10,31.442,31.532,31.314,31.382,4248,19,0
2020-03-11,31.381,31.547,31.346,31.441,3116,19,0
2020-03-12,31.441,31.751,31.441,31.7,5015,19,0
2020-03-13,31.707,32.086,31.648,31.755,6393,22,0
2020-03-16,31.666,32.205,31.616,32.043,5656,22,0
2020-03-17,32.011,32.347,31.996,32.152,5429,19,0
2020-03-18,32.149,32.649,32.111,32.567,5744,19,0
2020-03-19,32.537,32.726,32.416,32.529,7771,19,0
2020-03-20,32.545,32.711,32.342,32.638,6626,19,0
2020-03-23,32.671,33.052,32.646,32.827,7208,19,0
2020-03-24,32.831,32.954,32.711,32.746,5120,19,0
2020-03-25,32.757,32.912,32.632,32.722,4131,19,0
2020-03-26,32.723,32.843,32.544,32.599,4990,19,0
2020-03-27,32.595,32.628,32.346,32.501,4728,19,0
2020-03-30,32.435,32.706,32.435,32.612,3648,19,0
2020-03-31,32.481,32.857,32.481,32.692,4615,19,0
2020-04-01,32.722,33.092,32.642,33.052,5206,19,0
2020-04-02,33.032,33.175,32.865,32.901,5523,19,0
2020-04-03,32.907,33.036,32.823,32.94,4261,19,0
2020-04-06,32.942,33.003,32.73,32.802,3994,19,0
2020-04-07,32.801,32.903,32.659,32.697,4279,19,0
2020-04-08,32.695,32.856,32.662,32.699,3404,19,0
2020-04-09,32.707,32.839,32.6,32.645,3147,19,0
2020-04-10,32.644,32.721,32.606,32.63,1245,19,0
2020-04-13,32.656,32.767,32.638,32.689,1534,19,0
2020-04-14,32.691,32.785,32.576,32.607,2143,19,0
2020-04-15,32.622,32.753,32.529,32.677,3325,19,0
2020-04-16,32.684,32.749,32.564,32.644,3156,19,0
2020-04-17,32.647,32.647,32.428,32.459,4307,19,0
2020-04-20,32.459,32.522,32.401,32.482,2746,19,0
2020-04-21,32.464,32.615,32.409,32.487,3835,19,0
2020-04-22,32.472,32.541,32.275,32.352,3343,19,0
2020-04-23,32.342,32.382,32.258,32.31,3094,19,0
2020-04-24,32.292,32.462,32.268,32.394,2581,19,0
2020-04-27,32.439,32.505,32.386,32.43,2148,19,0
2020-04-28,32.428,32.527,32.367,32.44,2413,19,0
2020-04-29,32.449,32.449,32.331,32.382,1994,19,0
2020-04-30,32.383,32.486,32.29,32.436,3174,19,0
2020-05-01,32.442,32.528,32.401,32.453,2172,20,0
2020-05-04,32.474,32.566,32.297,32.342,1986,19,0
2020-05-05,32.336,32.409,32.312,32.339,3470,19,0
2020-05-06,32.346,32.437,32.308,32.412,2508,20,0
2020-05-07,32.42,32.473,32.296,32.336,2220,19,0
2020-05-08,32.34,32.361,32.13,32.157,2011,19,0
2020-05-11,32.192,32.255,32.077,32.187,2363,19,0
2020-05-12,32.146,32.224,32.035,32.072,2271,19,0
2020-05-13,32.1,32.134,31.988,32.069,2525,19,0
2020-05-14,32.065,32.136,32.012,32.077,2135,19,0
2020-05-15,32.05,32.106,31.99,32.037,1770,19,0
2020-05-18,32.025,32.066,31.952,31.987,1767,19,0
2020-05-19,31.997,32.025,31.802,31.905,2613,19,0
2020-05-20,31.913,31.919,31.749,31.816,1800,19,0
2020-05-21,31.801,31.875,31.764,31.825,2671,19,0
2020-05-22,31.828,31.911,31.792,31.856,1802,19,0
2020-05-25,31.893,31.996,31.853,31.947,1246,19,0
2020-05-26,31.952,31.957,31.81,31.852,2246,19,0
2020-05-27,31.859,31.92,31.813,31.895,2289,19,0
2020-05-28,31.905,31.912,31.795,31.845,1946,19,0
2020-05-29,31.855,31.864,31.74,31.74,2144,19,0
2020-06-01,31.785,31.809,31.593,31.612,2052,19,0
2020-06-02,31.621,31.652,31.474,31.518,2488,19,0
2020-06-03,31.521,31.619,31.463,31.556,2757,19,0
2020-06-04,31.55,31.667,31.479,31.518,2765,19,0
2020-06-05,31.522,31.558,31.391,31.45,3318,19,0
2020-06-08,31.477,31.508,31.351,31.375,2189,19,0
2020-06-09,31.373,31.405,31.257,31.292,1953,19,0
2020-06-10,31.3,31.336,31.025,31.105,3147,19,0
2020-06-11,31.098,31.118,30.808,31.064,4542,19,0
2020-06-12,31.058,31.218,30.884,30.972,4977,19,0
2020-06-15,30.935,31.135,30.92,30.973,3811,19,0
2020-06-16,30.972,31.186,30.923,31.101,4613,19,0
2020-06-17,31.102,31.235,31.07,31.111,4425,19,0
2020-06-18,31.117,31.189,31.001,31.076,3304,19,0
2020-06-19,31.078,31.105,30.912,30.981,3646,19,0
2020-06-22,30.964,31.062,30.895,30.935,2578,19,0
2020-06-23,30.942,31.032,30.818,30.889,2783,19,0
2020-06-24,30.858,30.908,30.775,30.865,2800,19,0
2020-06-25,30.855,30.939,30.811,30.872,2305,19,0
2020-06-26,30.874,30.934,30.83,30.894,2001,19,0
2020-06-29,30.88,30.93,30.823,30.863,1749,19,0
2020-06-30,30.862,30.91,30.82,30.887,1940,19,0
2020-07-01,30.893,31.039,30.842,31.013,2194,19,0
2020-07-02,31.021,31.123,30.973,31.047,2543,19,0
2020-07-03,31.061,31.134,31.043,31.058,1549,19,0
2020-07-06,31.062,31.125,30.987,31.08,1781,19,0
2020-07-07,31.086,31.286,31.005,31.164,2499,19,0
2020-07-08,31.173,31.306,31.129,31.161,2552,19,0
2020-07-09,31.164,31.258,31.098,31.227,2856,19,0
2020-07-10,31.233,31.35,31.183,31.3,2956,19,0
2020-07-13,31.303,31.404,31.229,31.375,1974,19,0
2020-07-14,31.336,31.608,31.319,31.504,3468,19,0
2020-07-15,31.509,31.578,31.42,31.52,3215,19,0
2020-07-16,31.517,31.746,31.491,31.669,3946,19,0
2020-07-17,31.673,31.756,31.613,31.613,2113,19,0
2020-07-20,31.653,31.851,31.628,31.772,2801,19,0
2020-07-21,31.776,31.798,31.45,31.527,3169,19,0
2020-07-22,31.529,31.705,31.492,31.58,3850,19,0
2020-07-23,31.585,31.73,31.565,31.691,2641,19,0
2020-07-24,31.698,31.782,31.558,31.581,3678,19,0
2020-07-27,31.572,31.618,31.421,31.458,2236,19,0
2020-07-28,31.462,31.593,31.391,31.461,3249,19,0
2020-07-29,31.447,31.55,31.322,31.398,3277,19,0
2020-07-30,31.379,31.456,31.297,31.34,3362,19,0
2020-07-31,31.345,31.352,31.148,31.221,2939,19,0
2020-08-03,31.223,31.291,31.141,31.191,2319,19,0
2020-08-04,31.171,31.221,30.994,31.021,2516,19,0
2020-08-05,31.024,31.043,30.941,31.008,2651,19,0
2020-08-06,31.001,31.143,30.963,31.069,2916,19,0
2020-08-07,31.067,31.233,31.03,31.159,3118,19,0
2020-08-10,31.142,31.198,31.052,31.092,2459,19,0
2020-08-11,31.082,31.139,31.009,31.1,3053,19,0
2020-08-12,31.102,31.167,31.004,31.034,2436,19,0
2020-08-13,31.04,31.075,30.966,30.999,2283,19,0
2020-08-14,31.014,31.137,30.991,31.074,1859,19,0
2020-08-17,31.068,31.211,31.05,31.087,1905,19,0
2020-08-18,31.11,31.206,31.054,31.144,2202,19,0
2020-08-19,31.141,31.29,31.091,31.269,2326,19,0
2020-08-20,31.244,31.457,31.237,31.384,3618,19,0
2020-08-21,31.386,31.578,31.338,31.536,2992,19,0
2020-08-24,31.501,31.628,31.348,31.461,2477,19,0
2020-08-25,31.454,31.52,31.383,31.417,2190,19,0
2020-08-26,31.419,31.451,31.2,31.224,2712,19,0
2020-08-27,31.23,31.302,31.14,31.28,2611,19,0
2020-08-28,31.271,31.309,31.042,31.069,2521,19,0
2020-08-31,31.041,31.159,30.99,31.044,3324,19,0
2020-09-01,31.034,31.185,30.9,31.148,3440,19,0
2020-09-02,31.145,31.339,31.107,31.308,3802,19,0
2020-09-03,31.302,31.449,31.268,31.354,3252,19,0
2020-09-04,31.361,31.447,31.271,31.346,2004,0,0
2020-09-07,31.349,31.396,31.312,31.32,1913,19,0
2020-09-08,31.32,31.458,31.317,31.365,2459,19,0
2020-09-09,31.375,31.404,31.237,31.242,2116,19,0
2020-09-10,31.244,31.348,31.207,31.291,2554,19,0
2020-09-11,31.288,31.345,31.229,31.229,2280,19,0
2020-09-14,31.236,31.336,31.236,31.264,1945,19,0
2020-09-15,31.266,31.294,31.159,31.16,2170,19,0
2020-09-16,31.162,31.226,31.015,31.073,2798,19,0
2020-09-17,31.071,31.263,31.027,31.142,3854,19,0
2020-09-18,31.144,31.184,31.031,31.036,2660,19,0
2020-09-21,31.037,31.385,30.939,31.27,3423,19,0
2020-09-22,31.278,31.43,31.275,31.391,3972,19,0
2020-09-23,31.377,31.578,31.325,31.557,3592,19,0
2020-09-24,31.529,31.668,31.512,31.561,3754,19,0
2020-09-25,31.532,31.668,31.473,31.587,3421,19,0
2020-09-28,31.588,31.741,31.561,31.585,2930,19,0
2020-09-29,31.592,31.72,31.551,31.559,3093,19,0
2020-09-30,31.554,31.698,31.543,31.571,3230,19,0
2020-10-01,31.57,31.642,31.524,31.532,2935,19,0
2020-10-02,31.527,31.651,31.48,31.508,3382,19,0
2020-10-05,31.531,31.558,31.236,31.287,2789,19,0
2020-10-06,31.262,31.308,31.157,31.263,3873,19,0
2020-10-07,31.207,31.372,31.164,31.198,2847,19,0
2020-10-08,31.196,31.247,31.139,31.163,2599,19,0
2020-10-09,31.161,31.188,30.957,30.957,2422,19,0
2020-10-12,30.994,31.22,30.994,31.124,2212,19,0
2020-10-13,31.117,31.263,31.074,31.244,2295,19,0
2020-10-14,31.246,31.275,31.082,31.098,3768,19,0
2020-10-15,31.101,31.265,31.065,31.158,3172,19,0
2020-10-16,31.154,31.232,31.038,31.127,2961,19,0
2020-10-19,31.13,31.238,31.13,31.172,2197,19,0
2020-10-20,31.174,31.31,31.15,31.204,1719,19,0
2020-10-21,31.206,31.268,31.144,31.154,2214,19,0
2020-10-22,31.162,31.32,31.149,31.28,2368,19,0
2020-10-23,31.281,31.327,31.199,31.258,1659,19,0
2020-10-26,31.263,31.328,31.165,31.185,1662,19,0
2020-10-27,31.204,31.268,31.191,31.192,1705,19,0
2020-10-28,31.19,31.286,31.101,31.218,2617,19,0
2020-10-29,31.214,31.272,31.193,31.203,2049,19,0
2020-10-30,31.206,31.222,31.118,31.118,1803,19,0
2020-11-02,31.132,31.192,31.089,31.089,1335,19,0
2020-11-03,31.097,31.11,31.0,31.004,1794,19,0
2020-11-04,31.0,31.196,30.959,30.964,3387,24,0
2020-11-05,30.974,31.05,30.723,30.73,2757,19,0
2020-11-06,30.733,30.777,30.485,30.539,3684,19,0
2020-11-09,30.54,30.694,30.364,30.555,4726,19,0
2020-11-10,30.559,30.582,30.288,30.301,5344,19,0
2020-11-11,30.303,30.385,30.159,30.281,4100,19,0
2020-11-12,30.243,30.355,30.169,30.169,2919,19,0
2020-11-13,30.179,30.277,30.122,30.122,2354,19,0
2020-11-16,30.146,30.27,30.117,30.18,1998,19,0
2020-11-17,30.177,30.203,30.131,30.138,1607,19,0
2020-11-18,30.147,30.338,30.143,30.289,2590,19,0
2020-11-19,30.286,30.437,30.286,30.337,2455,19,0
2020-11-20,30.357,30.402,30.233,30.237,2759,19,0
2020-11-23,30.246,30.36,30.223,30.342,1736,19,0
2020-11-24,30.326,30.427,30.293,30.293,2529,19,0
2020-11-25,30.297,30.388,30.23,30.255,2300,19,0
2020-11-26,30.253,30.33,30.234,30.259,1490,19,0
2020-11-27,30.26,30.316,30.227,30.243,1278,19,0
2020-11-30,30.258,30.307,30.226,30.245,1533,19,0
2020-12-01,30.253,30.291,30.187,30.204,1430,19,0
2020-12-02,30.202,30.255,30.158,30.16,2565,19,0
2020-12-03,30.18,30.225,30.131,30.17,1331,19,0
2020-12-04,30.142,30.186,30.119,30.14,1436,19,0
2020-12-07,30.129,30.241,30.107,30.12,860,19,0
2020-12-08,30.123,30.169,30.005,30.01,1589,19,0
2020-12-09,29.988,30.097,29.968,30.066,2347,19,0
2020-12-10,30.06,30.102,30.009,30.04,1752,19,0
2020-12-11,30.014,30.108,29.992,30.06,1220,19,0
2020-12-14,30.037,30.1,30.036,30.07,1106,19,0
2020-12-15,30.06,30.108,29.974,29.985,1168,19,0
2020-12-16,30.0,30.056,29.974,29.99,1199,19,0
2020-12-17,29.992,30.002,29.731,29.738,1890,19,0
2020-12-18,29.749,29.849,29.738,29.79,3820,19,0
2020-12-21,29.766,30.137,29.756,30.035,2393,19,0
2020-12-22,30.044,30.23,30.032,30.203,3592,19,0
2020-12-23,30.181,30.228,30.153,30.193,1902,22,0
2020-12-24,30.19,30.232,29.971,30.02,1681,22,0
2020-12-28,30.057,30.169,30.044,30.114,1108,24,0
2020-12-29,30.121,30.141,30.015,30.027,1294,22,0
2020-12-30,30.037,30.049,29.899,29.907,1675,22,0
2020-12-31,29.906,30.016,29.86,30.004,1439,22,0
2021-01-04,29.979,30.009,29.832,29.888,2837,19,0
2021-01-05,29.878,29.973,29.836,29.878,2632,19,0
2021-01-06,29.895,29.961,29.863,29.91,2216,19,0
2021-01-07,29.902,30.085,29.883,30.05,2076,19,0
2021-01-08,30.035,30.151,30.018,30.07,3036,19,0
2021-01-11,30.091,30.177,30.061,30.137,2629,19,0
2021-01-12,30.134,30.184,30.002,30.009,2387,19,0
2021-01-13,30.022,30.065,29.939,29.976,2308,19,0
2021-01-14,29.984,30.048,29.943,29.946,2305,19,0
2021-01-15,29.95,30.069,29.945,30.015,2239,19,0
2021-01-18,30.034,30.135,30.034,30.081,2251,19,0
2021-01-19,30.077,30.103,29.954,29.97,2262,19,0
2021-01-20,29.961,29.999,29.934,29.941,1796,19,0
2021-01-21,29.939,29.967,29.88,29.9,1919,19,0
2021-01-22,29.902,30.006,29.891,29.962,2516,19,0
2021-01-25,29.971,29.992,29.948,29.949,1551,19,0
2021-01-26,29.953,29.99,29.931,29.938,1399,19,0
2021-01-27,29.906,30.023,29.906,29.975,1644,19,0
2021-01-28,29.974,30.049,29.947,29.952,2349,19,0
2021-01-29,29.96,29.998,29.852,29.864,2097,19,0
2021-02-01,29.862,30.0,29.803,29.959,2330,19,0
2021-02-02,29.956,30.011,29.916,29.981,2433,19,0
2021-02-03,29.977,30.053,29.968,29.985,1839,19,0
2021-02-04,29.984,30.088,29.959,30.068,1549,19,0
2021-02-05,30.075,30.129,29.968,29.977,2026,19,0
2021-02-08,29.996,30.048,29.935,29.935,1743,19,0
2021-02-09,29.944,29.978,29.896,29.899,1625,19,0
2021-02-10,29.872,29.923,29.854,29.883,1996,19,0
2021-02-11,29.885,29.929,29.828,29.844,1206,19,0
2021-02-12,29.851,29.927,29.835,29.835,1342,19,0
2021-02-15,29.855,29.902,29.831,29.849,1621,19,0
2021-02-16,29.842,29.958,29.822,29.905,2668,19,0
2021-02-17,29.902,30.029,29.902,29.957,1622,19,0
2021-02-18,29.955,30.028,29.951,29.976,1763,19,0
2021-02-19,29.978,30.032,29.93,29.93,1656,19,0
2021-02-22,29.947,30.04,29.942,29.948,1430,19,0
2021-02-23,29.955,30.039,29.93,29.999,1930,19,0
2021-02-24,30.002,30.07,29.996,30.022,2174,19,0
2021-02-25,30.004,30.282,30.004,30.272,2207,19,0
2021-02-26,30.211,30.524,30.211,30.371,4931,19,0
2021-03-01,30.388,30.518,30.147,30.196,4488,19,0
2021-03-02,30.195,30.365,30.117,30.205,3149,19,0
2021-03-03,30.191,30.361,30.172,30.322,3347,19,0
2021-03-04,30.312,30.418,30.293,30.403,2596,19,0
2021-03-05,30.398,30.56,30.395,30.463,3249,19,0
2021-03-08,30.46,30.825,30.439,30.77,4559,21,0
2021-03-09,30.766,30.938,30.7,30.7,4851,21,0
2021-03-10,30.708,30.783,30.645,30.645,3551,21,0
2021-03-11,30.652,30.705,30.491,30.5,3320,22,0
2021-03-12,30.497,30.784,30.494,30.654,4126,21,0
2021-03-15,30.666,30.765,30.647,30.688,4001,21,0
2021-03-16,30.697,30.763,30.668,30.71,2858,21,0
2021-03-17,30.709,30.81,30.651,30.666,2699,21,0
2021-03-18,30.664,30.899,30.646,30.857,4672,21,0
2021-03-19,30.858,30.981,30.761,30.762,4650,21,0
2021-03-22,30.766,30.924,30.763,30.823,2949,21,0
2021-03-23,30.826,30.993,30.82,30.945,3381,21,0
2021-03-24,30.958,31.055,30.957,30.967,3115,21,0
2021-03-25,30.968,31.14,30.968,31.096,3607,21,0
2021-03-26,31.098,31.194,31.028,31.082,3438,21,0
2021-03-29,31.07,31.229,31.04,31.154,3279,21,0
2021-03-30,31.158,31.306,31.149,31.275,3280,21,0
2021-03-31,31.282,31.388,31.197,31.208,3661,21,0
2021-04-01,31.21,31.334,31.164,31.173,3493,21,0
2021-04-02,31.179,31.317,31.151,31.283,1768,21,0
2021-04-05,31.26,31.397,31.258,31.297,1914,21,0
2021-04-06,31.301,31.384,31.262,31.271,2458,21,0
2021-04-07,31.262,31.376,31.238,31.335,3013,21,0
2021-04-08,31.333,31.474,31.316,31.37,2420,21,0
2021-04-09,31.382,31.498,31.308,31.416,3229,21,0
2021-04-12,31.403,31.568,31.38,31.453,2964,21,0
2021-04-13,31.462,31.586,31.44,31.44,3308,21,0
2021-04-14,31.446,31.481,31.263,31.277,2648,21,0
2021-04-15,31.267,31.359,31.093,31.093,3613,21,0
2021-04-16,31.078,31.289,31.078,31.11,4145,21,0
2021-04-19,31.11,31.276,31.11,31.16,3275,21,0
2021-04-20,31.16,31.281,31.159,31.257,3104,21,0
2021-04-21,31.242,31.355,31.209,31.285,2972,21,0
2021-04-22,31.277,31.379,31.238,31.378,2402,21,0
2021-04-23,31.338,31.436,31.334,31.352,2570,21,0
2021-04-26,31.381,31.482,31.338,31.395,2395,21,0
2021-04-27,31.368,31.473,31.291,31.295,2594,21,0
2021-04-28,31.309,31.425,31.301,31.311,2243,20,0
2021-04-29,31.3,31.331,31.167,31.173,2770,20,0
2021-04-30,31.155,31.214,31.119,31.147,1947,21,0
2021-05-03,31.127,31.216,31.065,31.065,2225,20,0
2021-05-04,31.08,31.206,31.071,31.162,1886,20,0
2021-05-05,31.16,31.221,31.051,31.1,2780,20,0
2021-05-06,31.106,31.281,31.093,31.221,2612,20,0
2021-05-07,31.217,31.273,31.011,31.011,3171,20,0
2021-05-10,31.011,31.159,31.011,31.087,2860,20,0
2021-05-11,31.095,31.19,31.057,31.159,2696,20,0
2021-05-12,31.154,31.295,31.128,31.292,3299,20,0
2021-05-13,31.282,31.391,31.27,31.295,2914,20,0
2021-05-14,31.3,31.39,31.292,31.292,2467,20,0
2021-05-17,31.32,31.491,31.315,31.456,1942,20,0
2021-05-18,31.467,31.503,31.377,31.391,2470,20,0
2021-05-19,31.399,31.457,31.331,31.401,3043,20,0
2021-05-20,31.394,31.43,31.327,31.327,1927,20,0
2021-05-21,31.335,31.398,31.314,31.314,2085,20,0
2021-05-24,31.34,31.392,31.27,31.27,2183,20,0
2021-05-25,31.275,31.375,31.275,31.297,2360,20,0
2021-05-26,31.3,31.342,31.203,31.212,2179,20,0
2021-05-27,31.209,31.314,31.209,31.276,2905,20,0
2021-05-28,31.272,31.324,31.164,31.164,3256,20,0
2021-05-31,31.202,31.273,31.161,31.179,2046,20,0
2021-06-01,31.145,31.194,31.112,31.151,2305,20,0
2021-06-02,31.143,31.175,31.057,31.063,1838,20,0
2021-06-03,31.07,31.208,31.018,31.189,990,20,0
2021-06-04,31.191,31.276,31.081,31.081,2434,20,0
2021-06-07,31.11,31.217,31.109,31.125,1620,20,0
2021-06-08,31.128,31.23,31.124,31.18,1518,20,0
2021-06-09,31.185,31.205,31.123,31.13,1420,20,0
2021-06-10,31.122,31.178,31.09,31.108,1903,20,0
2021-06-11,31.099,31.131,31.017,31.051,1979,20,0
2021-06-14,31.047,31.136,31.022,31.076,1378,20,0
2021-06-15,31.077,31.177,31.077,31.141,1240,20,0
2021-06-16,31.107,31.283,31.107,31.267,2921,20,0
2021-06-17,31.262,31.439,31.254,31.407,3152,20,0
2021-06-18,31.365,31.496,31.333,31.45,3453,20,0
2021-06-21,31.452,31.668,31.445,31.536,3403,20,0
2021-06-22,31.527,31.75,31.527,31.672,2588,20,0
2021-06-23,31.659,31.908,31.651,31.805,3243,20,0
2021-06-24,31.808,31.974,31.78,31.877,2740,20,0
2021-06-25,31.874,31.908,31.723,31.76,2853,20,0
