date_time,open,high,low,close,volume,spread,real_volume
2006-01-13 04:00:00,6.0777,6.0881,6.0757,6.08,20,0,0
2006-01-13 08:00:00,6.0702,6.0983,6.0615,6.0719,943,0,0
2006-01-13 12:00:00,6.073,6.08,5.998,6.004,751,0,0
2006-01-13 16:00:00,6.005,6.039,5.99,6.0109,457,0,0
2006-01-13 20:00:00,6.016,6.02,6.016,6.017,7,0,0
2006-01-16 00:00:00,6.014,6.02,5.992,6.0069,23,0,0
2006-01-16 04:00:00,6.0109,6.02,6.005,6.009,114,0,0
2006-01-16 08:00:00,6.005,6.006,5.963,6.0,459,0,0
2006-01-16 12:00:00,5.998,6.003,5.963,6.0,462,0,0
2006-01-16 16:00:00,5.9989,6.0,5.976,5.998,102,0,0
2006-01-16 20:00:00,5.993,6.005,5.9859,6.0,195,0,0
2006-01-17 00:00:00,6.001,6.008,6.0,6.005,10,0,0
2006-01-17 04:00:00,6.006,6.017,5.994,6.0,187,0,0
2006-01-17 08:00:00,5.9969,6.029,5.974,6.023,493,0,0
2006-01-17 12:00:00,6.024,6.049,6.006,6.04,676,0,0
2006-01-17 16:00:00,6.038,6.0469,6.021,6.021,272,0,0
2006-01-17 20:00:00,6.022,6.035,6.018,6.02,36,0,0
2006-01-18 00:00:00,6.021,6.031,6.021,6.027,7,0,0
2006-01-18 04:00:00,6.024,6.071,6.024,6.054,318,0,0
2006-01-18 08:00:00,6.053,6.075,6.048,6.069,585,0,0
2006-01-18 12:00:00,6.068,6.075,6.0319,6.055,653,0,0
2006-01-18 16:00:00,6.057,6.062,6.039,6.04,182,0,0
2006-01-18 20:00:00,6.038,6.059,6.037,6.059,60,0,0
2006-01-19 00:00:00,6.057,6.06,6.05,6.055,20,0,0
2006-01-19 04:00:00,6.053,6.055,6.038,6.049,140,0,0
2006-01-19 08:00:00,6.051,6.056,6.001,6.016,496,0,0
2006-01-19 12:00:00,6.017,6.02,5.979,5.985,823,0,0
2006-01-19 16:00:00,5.984,5.9969,5.964,5.974,247,0,0
2006-01-19 20:00:00,5.971,5.987,5.966,5.977,99,0,0
2006-01-20 00:00:00,5.978,5.981,5.977,5.981,10,0,0
2006-01-20 04:00:00,5.982,5.9969,5.97,5.973,127,0,0
2006-01-20 08:00:00,5.972,6.022,5.969,6.014,602,0,0
2006-01-20 12:00:00,6.013,6.013,5.975,5.995,484,0,0
2006-01-20 16:00:00,5.998,6.014,5.981,5.9989,233,0,0
2006-01-20 20:00:00,5.998,6.0118,5.9939,5.9985,139,0,0
2006-01-23 00:00:00,6.008,6.009,5.955,5.958,103,0,0
2006-01-23 04:00:00,5.959,5.987,5.951,5.976,226,0,0
2006-01-23 08:00:00,5.974,5.9859,5.956,5.969,426,0,0
2006-01-23 12:00:00,5.968,5.995,5.9569,5.988,595,0,0
2006-01-23 16:00:00,5.99,5.995,5.9619,5.966,197,0,0
