date_time,open,high,low,close,volume,spread,real_volume
2008-04-29,118.84,118.84,114.95,115.63,458,0,0
2008-04-30,115.36,116.7,113.3,113.46,491,0,0
2008-05-01,114.6,115.23,110.3,112.52,779,0,0
2008-05-02,112.25,116.8,111.78,116.32,598,0,0
2008-05-05,116.5,120.36,116.05,119.97,516,0,0
2008-05-06,119.9,122.73,119.33,121.84,487,0,0
2008-05-07,121.76,123.93,120.54,123.53,502,0,0
2008-05-08,123.81,124.61,121.58,123.69,595,0,0
2008-05-09,124.28,126.27,124.08,125.96,271,0,0
2008-05-12,125.84,126.4,123.7,124.23,380,0,0
2008-05-13,123.76,126.98,123.1,125.8,573,0,0
2008-05-14,125.97,126.04,123.77,124.22,280,0,0
2008-05-15,123.83,126.64,120.75,124.12,1150,0,0
2008-05-16,124.4,127.82,124.04,126.29,568,0,0
2008-05-19,126.35,127.77,125.28,127.05,429,0,0
2008-05-20,127.49,129.6,126.67,129.07,429,0,0
2008-05-21,129.1,134.15,128.6,133.17,704,0,0
2008-05-22,133.89,135.09,130.07,130.81,697,0,0
2008-05-23,130.75,133.71,130.16,132.19,567,0,0
2008-05-27,132.98,133.65,128.18,128.85,682,0,0
2008-05-28,128.3,131.58,125.96,131.03,852,0,0
2008-05-29,130.75,133.12,126.11,126.62,990,0,0
2008-05-30,126.59,128.3,124.67,127.35,651,0,0
2008-06-02,127.63,129.35,125.22,127.76,814,0,0
2008-06-03,127.5,127.98,123.87,124.31,504,0,0
2008-06-04,124.23,125.1,121.84,122.3,460,0,0
2008-06-05,122.23,128.38,121.61,127.79,799,0,0
2008-06-06,128.2,139.12,127.81,138.54,1229,0,0
2008-06-09,137.97,138.25,133.0,134.35,689,0,0
2008-06-10,135.02,137.98,130.8,131.31,1066,0,0
2008-06-11,131.79,138.3,131.35,136.38,932,0,0
2008-06-12,136.54,137.46,131.55,136.74,1163,0,0
2008-06-13,136.97,137.08,133.46,134.86,514,0,0
2008-06-16,134.41,139.89,132.84,134.61,1391,0,0
2008-06-17,133.6,135.23,132.0,134.01,606,0,0
2008-06-18,133.5,136.88,131.82,136.68,695,0,0
2008-06-19,136.09,137.82,131.48,131.93,853,0,0
2008-06-20,132.06,136.8,131.19,134.62,867,0,0
2008-06-23,134.8,138.14,134.05,136.74,625,0,0
2008-06-24,137.25,138.75,135.9,137.0,546,0,0
2008-06-25,137.07,137.58,131.95,134.55,875,0,0
2008-06-26,134.52,140.39,133.68,139.64,831,0,0
2008-06-27,139.44,142.99,138.61,140.21,800,0,0
2008-06-30,140.6,143.67,139.17,140.0,841,0,0
2008-07-01,140.18,143.33,139.95,140.97,598,0,0
2008-07-02,141.44,144.32,140.01,143.57,650,0,0
2008-07-03,144.19,145.85,143.22,145.29,417,0,0
2008-07-07,144.27,144.53,139.5,141.37,717,0,0
2008-07-08,141.59,142.44,135.14,136.04,906,0,0
2008-07-09,136.0,138.28,135.34,136.05,584,0,0
2008-07-10,135.8,142.13,135.43,141.65,756,0,0
2008-07-11,141.8,147.27,141.44,145.08,839,0,0
2008-07-14,144.69,146.37,142.49,145.18,728,0,0
2008-07-15,145.19,146.73,135.92,138.74,1518,0,0
2008-07-16,138.77,139.3,132.0,134.6,1044,0,0
2008-07-17,135.11,136.75,129.0,129.29,969,0,0
2008-07-18,129.56,132.04,128.23,128.88,695,0,0
2008-07-21,128.88,132.05,128.63,131.04,469,0,0
2008-07-22,131.04,132.07,125.63,127.95,980,0,0
2008-07-23,128.5,128.7,124.12,124.44,511,0,0
2008-07-24,124.46,126.44,123.5,125.49,486,0,0
2008-07-25,125.6,126.51,122.5,123.26,569,0,0
2008-07-28,123.41,125.22,122.63,124.73,387,0,0
2008-07-29,124.94,125.85,120.42,122.19,812,0,0
2008-07-30,121.9,127.39,120.8,126.77,832,0,0
2008-07-31,126.9,127.89,122.71,124.08,755,0,0
2008-08-01,124.06,128.6,122.1,125.1,1197,0,0
2008-08-04,125.98,126.35,119.5,121.41,914,0,0
2008-08-05,121.0,121.23,118.0,119.17,464,0,0
2008-08-06,118.75,120.49,117.11,118.58,660,0,0
2008-08-07,118.8,121.78,117.91,120.02,653,0,0
2008-08-08,119.9,120.08,114.62,115.2,623,0,0
2008-08-11,115.2,116.9,112.72,114.45,762,0,0
2008-08-12,114.53,115.95,112.31,113.01,577,0,0
2008-08-13,113.09,117.46,112.87,116.0,628,0,0
2008-08-14,116.39,117.42,112.59,115.01,829,0,0
2008-08-15,114.83,115.2,111.34,113.77,667,0,0
2008-08-18,113.94,115.35,112.0,112.87,564,0,0
2008-08-19,113.11,116.65,111.64,114.53,861,0,0
2008-08-20,115.11,117.03,112.61,114.98,872,0,0
2008-08-21,115.86,122.04,115.4,121.18,797,0,0
2008-08-22,121.55,121.86,114.18,114.59,841,0,0
2008-08-25,114.69,116.06,113.68,115.11,435,0,0
2008-08-26,115.5,117.89,112.36,116.27,1030,0,0
2008-08-27,116.04,119.63,115.64,118.15,588,0,0
2008-08-28,118.16,120.5,114.08,115.59,1028,0,0
2008-08-29,115.75,118.76,115.0,115.46,724,0,0
2008-09-02,117.89,118.6,105.46,109.71,1811,0,0
2008-09-03,110.24,110.3,107.22,109.35,528,0,0
2008-09-04,109.4,110.6,106.52,107.89,666,0,0
2008-09-05,107.48,108.1,105.13,106.23,470,0,0
2008-09-08,107.75,109.89,104.7,106.34,898,0,0
2008-09-09,106.66,106.77,101.74,103.26,667,0,0
2008-09-10,102.2,104.97,101.36,102.58,685,0,0
2008-09-11,102.78,103.95,100.1,100.87,580,0,0
2008-09-12,101.15,102.89,99.99,101.18,578,0,0
2008-09-15,101.0,101.19,94.0,95.71,910,0,0
2008-09-16,94.23,94.32,90.51,91.15,455,0,0
2008-09-17,92.81,97.63,91.36,97.16,820,0,0
2008-09-18,97.1,102.24,95.73,97.88,1225,0,0
