date_time,open,high,low,close,volume,spread,real_volume
2007-12-18,550.92,558.42,549.37,556.94,1209,0,0
2007-12-19,556.97,558.77,554.7,557.7,742,0,0
2007-12-20,557.7,558.92,553.73,555.74,843,0,0
2007-12-21,555.6,565.78,555.5,564.51,1166,0,0
2007-12-24,564.59,565.67,561.71,564.04,738,0,0
2007-12-25,563.99,564.33,559.45,560.11,589,0,0
2007-12-26,561.01,570.17,560.42,568.96,1156,0,0
2007-12-27,568.9,571.52,563.89,564.44,1081,0,0
2007-12-28,564.4,570.95,563.72,570.9,797,0,0
2007-12-31,570.88,572.44,566.34,571.53,1156,0,0
2008-01-01,571.59,571.87,570.48,571.34,254,0,0
2008-01-02,571.32,583.23,569.95,582.54,1535,0,0
2008-01-03,582.87,588.8,580.34,586.15,1365,0,0
2008-01-04,586.2,587.77,579.89,583.13,1270,0,0
2008-01-07,582.9,587.07,580.94,583.92,1125,0,0
2008-01-08,583.98,598.68,583.51,597.13,1720,0,0
2008-01-09,597.1,605.57,594.55,599.1,2005,0,0
2008-01-10,599.88,604.53,591.77,603.25,2216,0,0
2008-01-11,603.32,606.89,600.94,606.08,915,0,0
2008-01-14,605.47,612.17,603.07,607.98,1570,0,0
2008-01-15,608.04,614.07,599.98,600.17,2032,0,0
2008-01-16,599.73,606.15,595.22,601.1,2050,0,0
2008-01-17,598.03,605.84,597.2,599.3,1602,0,0
2008-01-18,599.17,605.35,595.2,604.03,1545,0,0
2008-01-21,604.54,607.29,596.23,598.43,1602,0,0
2008-01-22,598.49,610.81,591.91,610.0,2630,0,0
2008-01-23,610.07,613.0,602.49,608.79,1975,0,0
2008-01-24,608.84,618.76,608.14,618.69,1140,0,0
2008-01-25,618.68,627.89,615.11,622.43,2182,0,0
2008-01-28,622.54,628.56,621.01,628.4,925,0,0
2008-01-29,628.35,631.29,623.11,625.05,1307,0,0
2008-01-30,625.1,628.21,620.53,625.4,1507,0,0
2008-01-31,625.19,625.55,619.72,622.67,915,0,0
2008-02-01,623.14,628.77,610.37,611.71,2538,0,0
2008-02-04,611.56,616.78,603.18,609.33,2498,0,0
2008-02-05,609.24,612.85,602.72,606.35,1738,0,0
2008-02-06,606.81,619.07,605.86,615.77,1747,0,0
2008-02-07,615.52,628.94,614.11,628.49,1670,0,0
2008-02-08,628.45,636.44,626.66,636.27,1175,0,0
2008-02-11,635.8,637.5,632.54,636.04,969,0,0
2008-02-12,636.15,637.44,619.64,621.49,2095,0,0
2008-02-13,621.48,624.68,616.44,622.07,1590,0,0
2008-02-14,622.38,625.44,617.99,620.23,1276,0,0
2008-02-15,620.24,623.1,613.11,614.69,1444,0,0
2008-02-18,614.82,619.29,614.44,617.75,678,0,0
2008-02-19,617.59,631.13,617.55,630.0,1476,0,0
2008-02-20,630.02,642.84,626.01,641.63,2206,0,0
2008-02-21,641.61,643.92,636.26,638.67,1239,0,0
2008-02-22,638.67,641.2,632.48,637.44,1622,0,0
2008-02-25,636.91,642.65,629.85,633.75,2245,0,0
2008-02-26,633.58,635.66,626.32,633.1,1821,0,0
2008-02-27,632.94,640.18,630.14,633.45,1958,0,0
2008-02-28,633.52,639.26,631.52,638.84,1017,0,0
2008-02-29,639.1,642.14,636.33,641.71,902,0,0
2008-03-03,641.15,649.85,637.34,646.96,1922,0,0
2008-03-04,646.96,649.52,629.51,633.51,2658,0,0
2008-03-05,633.53,648.7,632.12,648.45,1825,0,0
2008-03-06,648.15,648.58,629.88,636.46,2572,0,0
2008-03-07,636.52,639.94,632.55,633.73,1200,0,0
2008-03-10,633.49,637.88,626.61,634.02,2202,0,0
2008-03-11,634.43,637.53,631.29,634.57,1235,0,0
2008-03-12,634.63,635.22,629.2,632.08,950,0,0
2008-03-13,632.05,641.29,628.97,636.28,2042,0,0
2008-03-14,636.5,643.57,636.12,639.89,1152,0,0
2008-03-17,639.84,652.28,633.27,637.48,3567,0,0
2008-03-18,637.31,640.96,624.01,628.61,2521,0,0
2008-03-19,628.27,632.63,600.77,604.16,3962,0,0
2008-03-20,604.29,604.5,585.39,589.99,2393,0,0
2008-03-21,589.97,613.45,589.03,595.84,4298,0,0
2008-03-24,595.63,601.96,590.12,593.46,2152,0,0
2008-03-25,593.46,601.48,591.53,599.88,1349,0,0
2008-03-26,599.83,604.07,598.71,602.13,843,0,0
2008-03-27,602.22,603.83,597.27,600.42,1133,0,0
2008-03-28,600.31,601.45,586.56,589.42,1890,0,0
2008-03-31,589.2,594.81,578.33,580.77,2454,0,0
2008-04-01,580.31,583.87,561.97,565.34,2884,0,0
2008-04-02,565.26,577.39,565.26,576.55,1298,0,0
2008-04-03,576.95,579.88,571.93,575.72,1468,0,0
2008-04-04,575.68,582.01,574.19,580.63,1070,0,0
2008-04-07,580.87,591.22,580.61,586.2,1590,0,0
2008-04-08,585.29,587.46,579.21,582.27,1349,0,0
2008-04-09,582.21,591.08,575.1,589.96,2422,0,0
2008-04-10,589.92,591.48,586.21,590.12,1035,0,0
2008-04-11,590.29,590.56,580.98,585.23,1411,0,0
2008-04-14,589.73,589.73,580.63,583.93,1241,0,0
2008-04-15,583.82,591.18,583.39,587.57,1184,0,0
2008-04-16,587.81,594.68,585.44,592.32,1398,0,0
2008-04-17,592.23,596.84,590.0,590.12,1158,0,0
2008-04-18,590.4,594.49,576.11,579.89,2626,0,0
2008-04-21,580.26,583.57,574.2,576.19,1468,0,0
2008-04-22,576.13,578.59,572.02,573.19,1021,0,0
2008-04-23,573.29,577.4,565.84,569.15,1899,0,0
2008-04-24,568.91,575.43,564.36,564.83,1807,0,0
2008-04-25,565.06,573.69,563.6,566.86,1839,0,0
2008-04-28,567.14,572.66,567.14,570.51,768,0,0
2008-04-29,569.9,571.05,558.32,559.11,1468,0,0
2008-04-30,559.02,562.68,554.3,561.66,1413,0,0
2008-05-01,561.72,563.85,548.69,551.0,1961,0,0
2008-05-02,551.17,556.89,549.25,555.32,1114,0,0
2008-05-05,555.56,564.57,553.93,564.13,1272,0,0
2008-05-06,564.5,568.62,561.7,564.22,1357,0,0
2008-05-07,564.22,568.18,561.76,564.31,1276,0,0
2008-05-08,564.36,574.63,563.97,572.81,1288,0,0
2008-05-09,572.9,575.14,565.76,571.57,1744,0,0
2008-05-12,572.53,574.91,567.31,567.51,1019,0,0
2008-05-13,567.53,570.33,557.61,560.23,1815,0,0
2008-05-14,560.21,562.84,558.38,558.38,710,0,0
2008-05-15,558.43,573.42,557.26,570.72,2004,0,0
2008-05-16,570.91,581.58,568.92,579.26,1698,0,0
2008-05-19,579.2,586.31,578.48,583.61,1126,0,0
2008-05-20,583.62,588.99,578.74,587.54,1659,0,0
2008-05-21,587.5,590.86,582.55,590.43,1370,0,0
2008-05-22,590.39,592.55,584.3,586.07,1219,0,0
2008-05-23,585.98,588.81,582.1,586.84,1257,0,0
2008-05-26,586.68,589.25,586.29,589.14,347,0,0
2008-05-27,589.16,589.35,575.72,577.58,1569,0,0
2008-05-28,577.65,579.02,567.42,576.07,2163,0,0
2008-05-29,575.99,577.76,563.46,565.69,1831,0,0
2008-05-30,565.69,572.75,563.25,569.93,1477,0,0
2008-06-02,569.42,577.02,567.84,573.76,1403,0,0
2008-06-03,573.67,576.22,566.77,569.8,1504,0,0
2008-06-04,570.12,572.93,566.72,569.5,1181,0,0
2008-06-05,569.57,570.0,559.05,562.58,1492,0,0
2008-06-06,562.67,572.11,562.58,571.87,987,0,0
2008-06-09,571.57,575.35,569.43,570.72,1100,0,0
2008-06-10,570.67,573.25,558.72,560.5,1890,0,0
2008-06-11,560.58,567.83,560.42,566.18,923,0,0
2008-06-12,566.15,567.6,557.13,562.3,1710,0,0
2008-06-13,562.6,567.85,561.12,566.64,943,0,0
2008-06-16,566.21,570.95,563.79,570.19,1035,0,0
2008-06-17,570.14,572.74,564.76,569.11,1494,0,0
2008-06-18,569.11,577.06,567.54,575.73,1243,0,0
2008-06-19,575.64,585.47,572.44,579.48,2223,0,0
2008-06-20,579.55,580.99,576.0,578.08,852,0,0
2008-06-23,577.58,583.47,566.58,569.48,2569,0,0
2008-06-24,569.6,573.46,567.64,571.43,982,0,0
2008-06-25,571.46,573.12,561.97,565.79,1664,0,0
2008-06-26,565.83,582.55,564.86,582.17,1905,0,0
2008-06-27,582.15,589.84,578.98,587.48,1640,0,0
2008-06-30,587.85,592.16,583.87,587.42,1616,0,0
2008-07-01,587.37,598.91,585.99,595.02,1820,0,0
2008-07-02,595.08,596.74,589.69,595.09,1410,0,0
2008-07-03,594.66,597.81,588.71,594.96,1791,0,0
2008-07-04,595.04,596.81,592.12,594.42,877,0,0
2008-07-07,594.67,594.87,584.98,588.55,1367,0,0
2008-07-08,588.62,593.41,582.47,586.85,2012,0,0
2008-07-09,586.84,590.36,584.48,589.84,877,0,0
2008-07-10,589.87,600.73,589.11,600.32,1280,0,0
2008-07-11,600.26,607.66,596.71,605.01,1716,0,0
2008-07-14,603.59,612.43,601.77,611.37,1355,0,0
2008-07-15,611.13,618.09,607.96,614.44,1696,0,0
2008-07-16,614.3,616.89,605.78,606.53,1446,0,0
2008-07-17,606.58,616.55,603.01,603.61,2412,0,0
2008-07-18,603.54,607.83,601.02,602.62,1271,0,0
2008-07-21,602.75,609.37,602.68,606.41,973,0,0
2008-07-22,606.44,612.75,597.87,599.48,2281,0,0
2008-07-23,599.58,601.69,585.09,586.73,2036,0,0
2008-07-24,586.67,593.48,584.92,591.93,1187,0,0
2008-07-25,591.89,594.86,586.28,591.94,1712,0,0
2008-07-28,591.94,593.22,586.66,591.21,1240,0,0
2008-07-29,591.31,592.87,586.3,589.47,1131,0,0
2008-07-30,589.61,590.1,575.95,581.75,2045,0,0
2008-07-31,581.77,589.71,581.49,585.81,1241,0,0
2008-08-01,585.88,588.62,581.34,585.22,1391,0,0
2008-08-04,585.18,587.23,573.6,574.46,1655,0,0
2008-08-05,574.49,575.59,564.6,565.81,1331,0,0
2008-08-06,565.81,572.83,564.91,570.98,1068,0,0
2008-08-07,571.05,572.4,566.42,569.75,1067,0,0
2008-08-08,569.71,573.1,565.86,570.78,1342,0,0
2008-08-11,573.57,576.84,549.63,552.44,3330,0,0
2008-08-12,552.59,555.05,539.94,544.35,2199,0,0
2008-08-13,544.02,556.96,540.09,554.13,2364,0,0
2008-08-14,554.13,561.07,543.41,544.08,2528,0,0
2008-08-15,544.23,545.33,528.4,536.19,2583,0,0
2008-08-18,536.56,545.56,536.34,544.44,1057,0,0
2008-08-19,544.38,552.09,535.46,551.05,2660,0,0
2008-08-20,551.01,554.86,544.85,551.7,1934,0,0
2008-08-21,552.15,563.32,550.29,561.76,1646,0,0
2008-08-22,561.76,562.86,554.73,556.33,1084,0,0
2008-08-25,556.74,558.88,553.66,557.12,1007,0,0
2008-08-26,557.05,565.56,553.24,562.84,1886,0,0
2008-08-27,562.9,566.82,561.01,561.52,1025,0,0
2008-08-28,561.38,571.59,561.37,567.07,1476,0,0
2008-08-29,567.6,568.95,564.52,566.45,772,0,0
2008-09-01,565.54,569.98,558.97,559.37,1586,0,0
2008-09-02,559.38,562.17,546.67,554.65,2628,0,0
2008-09-03,554.74,558.5,548.42,552.71,1814,0,0
2008-09-04,552.74,560.79,552.3,555.98,1375,0,0
2008-09-05,555.92,569.66,554.53,563.27,2292,0,0
2008-09-08,560.45,574.91,558.01,567.92,2634,0,0
2008-09-09,567.91,569.42,549.52,549.97,2187,0,0
2008-09-10,549.94,553.81,536.74,537.42,2163,0,0
2008-09-11,537.31,542.96,530.48,533.31,2097,0,0
2008-09-12,533.53,539.46,529.5,538.32,1514,0,0
2008-09-15,534.05,553.11,533.79,552.23,2047,0,0
