date_time,open,high,low,close,volume,spread,real_volume
2011-05-29,11.654,11.672,11.647,11.669,420,0,0
2011-05-30,11.672,11.713,11.634,11.685,10094,0,0
2011-05-31,11.684,11.976,11.625,11.938,31142,0,0
2011-06-01,11.938,12.026,11.819,11.848,27835,0,0
2011-06-02,11.849,12.056,11.836,12.031,28524,0,0
2011-06-03,12.03,12.043,11.625,11.947,24250,0,0
2011-06-05,11.941,11.961,11.821,11.955,255,0,0
2011-06-06,11.958,12.023,11.621,11.781,17983,0,0
2011-06-07,11.782,11.96,11.781,11.914,23573,0,0
2011-06-08,11.914,11.942,11.767,11.865,27108,0,0
2011-06-09,11.864,11.976,11.767,11.898,26369,0,0
2011-06-10,11.901,11.905,11.774,11.787,25614,0,0
2011-06-12,11.794,11.824,11.789,11.808,591,0,0
2011-06-13,11.806,11.873,11.769,11.81,17835,0,0
2011-06-14,11.809,11.955,11.79,11.9,23538,0,0
2011-06-15,11.899,11.912,11.778,11.813,27822,0,0
2011-06-16,11.814,11.834,11.687,11.775,33644,0,0
2011-06-17,11.774,11.846,11.681,11.826,27249,0,0
2011-06-19,11.815,11.832,11.788,11.828,426,0,0
2011-06-20,11.827,11.855,11.739,11.818,18779,0,0
2011-06-21,11.817,11.944,11.769,11.926,22883,0,0
2011-06-22,11.927,11.977,11.805,11.847,23432,0,0
2011-06-23,11.846,11.877,11.64,11.764,20146,0,0
2011-06-27,11.754,11.782,11.738,11.761,6748,0,0
2011-06-28,11.759,11.86,11.717,11.828,23329,0,0
2011-06-29,11.775,11.888,11.759,11.847,10308,0,0
2011-06-30,11.848,11.942,11.77,11.874,30536,0,0
2011-07-01,11.875,12.027,11.868,12.015,29121,0,0
2011-07-04,11.989,12.042,11.959,12.007,11590,0,0
2011-07-05,12.005,12.061,11.944,12.01,21724,0,0
2011-07-06,12.009,12.02,11.938,11.999,22739,0,0
2011-07-07,11.995,12.124,11.97,12.123,16577,0,0
2011-07-12,11.475,11.569,11.466,11.564,3084,0,0
2011-07-22,11.569,11.584,11.568,11.576,204,0,0
2011-07-25,11.486,11.602,11.417,11.555,18418,0,0
2011-07-26,11.558,11.703,11.495,11.636,17867,0,0
2011-07-27,11.638,11.735,11.614,11.674,15099,0,0
2011-07-28,11.667,11.713,11.502,11.521,15895,0,0
2011-07-29,11.521,11.543,11.428,11.465,16567,0,0
2011-08-01,11.512,11.673,11.351,11.464,23485,0,0
2011-08-02,11.456,11.55,11.301,11.353,22041,0,0
2011-08-03,11.362,11.453,11.245,11.452,18897,0,0
2011-08-04,11.433,11.759,11.326,11.382,35832,0,0
2011-08-05,11.382,11.471,11.262,11.293,24793,0,0
2011-08-08,11.273,11.298,10.754,10.771,22324,0,0
2011-08-09,10.616,10.825,10.276,10.819,22764,0,0
2011-08-10,10.74,10.799,10.468,10.577,17147,0,0
2011-08-11,10.68,10.756,10.412,10.644,20552,0,0
2011-08-12,10.633,10.725,10.513,10.702,12939,0,0
2011-08-15,10.666,10.898,10.465,10.863,11305,0,0
2011-08-16,10.797,10.801,10.649,10.712,11762,0,0
2011-08-17,10.724,10.836,10.651,10.781,12098,0,0
2011-08-18,10.75,10.771,10.524,10.633,12642,0,0
2011-08-19,10.553,10.669,10.511,10.601,15642,0,0
2011-08-22,10.628,10.718,10.585,10.629,12892,0,0
2011-08-23,10.667,10.709,10.559,10.64,12558,0,0
2011-08-24,10.608,10.649,10.565,10.592,10237,0,0
2011-08-25,10.584,10.755,10.584,10.695,13015,0,0
2011-08-26,10.694,10.752,10.617,10.703,12682,0,0
2011-08-29,10.654,10.953,10.654,10.869,7770,0,0
2011-08-30,10.882,10.924,10.792,10.829,12212,0,0
2011-08-31,10.833,10.97,10.82,10.941,12226,0,0
2011-09-01,10.955,11.036,10.935,10.963,17119,0,0
2011-09-02,10.963,10.994,10.831,10.842,23102,0,0
2011-09-05,10.857,10.865,10.732,10.771,18932,0,0
2011-09-06,10.764,10.934,10.708,10.826,29300,0,0
2011-09-07,10.827,10.897,10.7,10.799,21998,0,0
2011-09-08,10.798,10.853,10.738,10.774,17693,0,0
2011-09-09,10.772,10.8,10.555,10.644,24188,0,0
2011-09-12,10.587,10.637,10.318,10.391,20952,0,0
2011-09-13,10.39,10.54,10.307,10.513,20838,0,0
2011-09-14,10.514,10.55,10.253,10.343,21445,0,0
2011-09-15,10.341,10.486,10.231,10.34,17790,0,0
2011-09-16,10.341,10.429,10.248,10.249,16945,0,0
2011-09-19,10.271,10.28,9.859,9.979,15030,0,0
2011-09-20,9.977,10.04,9.84,9.864,18404,0,0
2011-09-21,9.865,9.917,9.218,9.226,19352,0,0
2011-09-22,9.226,9.4,8.922,8.969,16985,0,0
2011-09-23,8.969,9.485,8.952,9.418,15195,0,0
2011-09-26,9.434,9.579,9.056,9.452,15394,0,0
2011-09-27,9.451,9.85,9.417,9.738,17104,0,0
2011-09-28,9.739,9.908,9.604,9.639,17915,0,0
2011-09-29,9.638,9.864,9.564,9.618,16885,0,0
2011-09-30,9.617,9.642,9.325,9.49,18698,0,0
2011-10-03,9.439,9.525,9.204,9.217,19441,0,0
2011-10-04,9.216,9.515,9.179,9.468,22037,0,0
2011-10-05,9.484,9.633,9.363,9.612,20766,0,0
2011-10-06,9.587,9.732,9.478,9.631,20421,0,0
2011-10-07,9.631,9.759,9.56,9.599,21432,0,0
2011-10-10,9.583,9.81,9.574,9.741,17935,0,0
2011-10-11,9.741,9.771,9.566,9.627,19223,0,0
2011-10-12,9.622,9.947,9.591,9.83,21395,0,0
2011-10-13,9.829,9.884,9.664,9.735,22284,0,0
2011-10-14,9.731,9.869,9.675,9.847,21246,0,0
2011-10-17,9.819,9.947,9.571,9.581,15656,0,0
2011-10-18,9.578,9.673,9.473,9.61,17070,0,0
2011-10-19,9.609,9.66,9.485,9.531,14888,0,0
2011-10-20,9.518,9.544,9.22,9.346,17078,0,0
2011-10-21,9.346,9.5,9.309,9.452,14579,0,0
2011-10-24,9.381,9.68,9.379,9.621,13657,0,0
2011-10-25,9.62,9.689,9.508,9.577,16920,0,0
2011-10-26,9.57,9.62,9.464,9.566,15514,0,0
2011-10-27,9.567,9.879,9.474,9.808,18244,0,0
2011-10-28,9.802,9.858,9.744,9.796,13896,0,0
2011-10-31,9.796,10.167,9.748,9.803,29080,0,0
2011-11-01,9.803,9.923,9.531,9.64,21305,0,0
2011-11-02,9.645,9.799,9.617,9.751,19382,0,0
2011-11-03,9.734,9.957,9.635,9.898,19027,0,0
2011-11-04,9.906,10.014,9.848,9.885,17531,0,0
2011-11-07,9.862,9.898,9.706,9.812,16098,0,0
2011-11-08,9.792,9.936,9.76,9.886,16855,0,0
2011-11-09,9.886,9.93,9.606,9.647,17551,0,0
2011-11-10,9.63,9.798,9.574,9.705,22720,0,0
2011-11-11,9.707,9.812,9.639,9.719,14398,0,0
2011-11-14,9.738,9.795,9.563,9.601,14924,0,0
2011-11-15,9.581,9.673,9.361,9.411,17120,0,0
2011-11-16,9.396,9.475,9.332,9.395,15560,0,0
2011-11-17,9.366,9.466,9.308,9.34,19903,0,0
2011-11-18,9.332,9.414,9.306,9.35,23232,0,0
2011-11-21,9.331,9.39,9.185,9.19,14861,0,0
2011-11-22,9.189,9.303,9.098,9.144,16330,0,0
2011-11-23,9.152,9.161,8.94,8.95,13763,0,0
2011-11-24,8.943,9.106,8.932,9.072,10778,0,0
2011-11-25,9.073,9.16,8.977,9.077,13683,0,0
2011-11-28,9.127,9.367,9.114,9.269,10909,0,0
2011-11-29,9.267,9.403,9.219,9.316,15025,0,0
2011-11-30,9.317,9.581,9.185,9.547,15957,0,0
2011-12-01,9.546,9.614,9.469,9.585,13878,0,0
2011-12-02,9.586,9.745,9.586,9.664,10054,0,0
2011-12-05,9.688,9.757,9.621,9.635,9245,0,0
2011-12-06,9.615,9.672,9.527,9.66,11110,0,0
2011-12-07,9.656,9.738,9.556,9.678,10263,0,0
2011-12-08,9.677,9.68,8.746,9.366,11232,0,0
2011-12-09,9.368,9.57,9.307,9.569,10486,0,0
2011-12-12,9.572,9.61,9.37,9.393,12268,0,0
2011-12-13,9.396,9.465,9.289,9.3,15224,0,0
2011-12-14,9.299,9.384,9.209,9.241,15894,0,0
2011-12-15,9.247,9.327,9.214,9.221,19230,0,0
2011-12-16,9.218,9.359,9.193,9.235,11192,0,0
2011-12-19,9.252,9.333,9.219,9.267,11225,0,0
2011-12-20,9.268,9.501,9.257,9.479,11697,0,0
2011-12-21,9.463,9.61,9.385,9.429,15625,0,0
2011-12-22,9.445,9.602,9.397,9.525,10833,0,0
2011-12-23,9.514,9.597,9.403,9.477,7907,0,0
2011-12-26,9.534,9.607,9.386,9.518,3216,0,0
2011-12-27,9.512,9.573,9.484,9.538,7081,0,0
2011-12-28,9.537,9.571,9.459,9.465,10727,0,0
2011-12-29,9.436,9.556,9.422,9.446,11215,0,0
2011-12-30,9.428,9.554,9.323,9.429,12055,0,0
2012-01-02,9.489,9.509,9.411,9.499,3300,0,0
2012-01-03,9.503,9.547,9.446,9.495,12322,0,0
2012-01-04,9.495,9.504,9.361,9.416,12904,0,0
2012-01-05,9.415,9.438,9.299,9.401,18297,0,0
2012-01-06,9.401,9.496,9.36,9.383,14130,0,0
2012-01-09,9.374,9.423,9.337,9.39,13332,0,0
2012-01-10,9.391,9.507,9.372,9.445,13963,0,0
2012-01-11,9.446,9.491,9.398,9.474,13527,0,0
2012-01-12,9.473,9.571,9.449,9.507,15037,0,0
2012-01-13,9.508,9.542,9.301,9.431,16047,0,0
2012-01-16,9.399,9.494,9.36,9.444,11606,0,0
2012-01-17,9.444,9.568,9.396,9.543,14028,0,0
2012-01-18,9.543,9.649,9.5,9.629,14717,0,0
2012-01-19,9.629,9.762,9.573,9.695,15171,0,0
2012-01-20,9.694,9.729,9.629,9.652,13993,0,0
2012-01-23,9.641,9.726,9.624,9.68,13078,0,0
2012-01-24,9.68,9.778,9.621,9.767,16307,0,0
2012-01-25,9.766,9.853,9.654,9.832,18641,0,0
2012-01-26,9.833,9.951,9.773,9.888,18701,0,0
2012-01-27,9.888,9.916,9.809,9.854,17269,0,0
2012-01-30,9.85,9.876,9.64,9.71,14285,0,0
2012-01-31,9.703,9.828,9.662,9.737,16457,0,0
2012-02-01,9.737,9.941,9.687,9.89,15659,0,0
